Silicon Motion Technology Price to Free Cash Flow Ratio Historical Data,Silicon Motion Technology Price to Free Cash Flow Ratio Historical Data,Silicon Motion Technology Price to Free Cash Flow Ratio Historical Data,Silicon Motion Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,55.92,,23.13
2024-09-30,60.18,$2.42,24.89
2024-06-30,79.59,$2.61,30.46
2024-03-31,75.13,$3.06,24.55
2023-12-31,59.4,$2.95,20.13
2023-09-30,49.26,$2.21,22.28
2023-06-30,69.07,$2.57,26.9
2023-03-31,62.98,$1.73,36.31
2022-12-31,62.47,$1.53,40.93
2022-09-30,62.66,$3.03,20.69
2022-06-30,79.95,$1.85,43.27
2022-03-31,63.48,$3.48,18.24
2021-12-31,89.69,$4.29,20.92
2021-09-30,64.64,$3.02,21.43
2021-06-30,59.81,$3.21,18.61
2021-03-31,55.12,$2.25,24.47
2020-12-31,44.45,$2.79,15.92
2020-09-30,34.53,$3.16,10.93
2020-06-30,44.19,$2.33,18.96
2020-03-31,32.95,$2.77,11.89
2019-12-31,45.24,$1.89,23.94
2019-09-30,31.27,$2.01,15.52
2019-06-30,39.26,$2.04,19.25
2019-03-31,35.07,$0.98,35.62
2018-12-31,30.3,$0.92,32.78
2018-09-30,46.79,$2.57,18.22
2018-06-30,45.84,$2.57,17.85
2018-03-31,41.44,$2.57,16.14
2017-12-31,45.31,$2.57,17.64
2017-09-30,40.83,$3.19,12.79
2017-06-30,40.81,$3.19,12.79
2017-03-31,39.41,$3.19,12.35
2016-12-31,35.63,$3.19,11.16
2016-09-30,43.23,$1.20,36.08
2016-06-30,39.79,$1.20,33.21
2016-03-31,32.18,$1.20,26.86
2015-12-31,25.88,$2.86,9.06
2015-06-30,28.26,$1.66,17.05
2015-03-31,21.84,$1.66,13.18
2014-12-31,19.12,$1.66,11.54
2014-09-30,21.64,$1.08,20.05
2014-06-30,16.31,$1.08,15.11
2014-03-31,13.27,$1.08,12.29
2013-12-31,11.09,$1.08,10.27
2013-09-30,10.12,$1.92,5.27
2013-06-30,8.1,$1.92,4.22
2013-03-31,8.84,$1.92,4.6
2012-12-31,10.62,$1.92,5.53
2012-09-30,11.04,$1.41,7.85
2012-06-30,10.54,$1.41,7.49
2012-03-31,14.47,$1.41,10.29
2011-12-31,15.3,$1.41,10.88
2011-09-30,8.63,0,0.0
2011-06-30,8.01,0,0.0
2011-03-31,6.04,0,0.0
2010-12-31,3.17,0,0.0
2010-09-30,4.07,0,0.0
2010-06-30,3.86,0,0.0
2010-03-31,3.34,0,0.0
2009-12-31,2.55,0,0.0
