Stryker Price to Free Cash Flow Ratio Historical Data,Stryker Price to Free Cash Flow Ratio Historical Data,Stryker Price to Free Cash Flow Ratio Historical Data,Stryker Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,374.22,,41.38
2024-12-31,360.05,$9.04,39.81
2024-09-30,361.26,$8.33,43.35
2024-06-30,339.5,$7.30,46.5
2024-03-31,356.24,$7.45,47.84
2023-12-31,297.43,$8.17,36.39
2023-09-30,270.7,$6.69,40.44
2023-06-30,301.39,$6.31,47.73
2023-03-31,281.31,$5.93,47.44
2022-12-31,240.28,$5.33,45.11
2022-09-30,198.45,$5.28,37.58
2022-06-30,194.26,$5.41,35.93
2022-03-31,260.16,$6.41,40.56
2021-12-31,259.56,$7.16,36.24
2021-09-30,255.31,$7.90,32.33
2021-06-30,250.86,$7.77,32.29
2021-03-31,234.69,$7.13,32.94
2020-12-31,235.49,$7.34,32.1
2020-09-30,199.73,$5.93,33.67
2020-06-30,172.23,$5.19,33.2
2020-03-31,158.63,$4.73,33.52
2019-12-31,199.32,$4.06,49.11
2019-09-30,204.79,$4.99,41.04
2019-06-30,194.17,$5.02,38.65
2019-03-31,186.08,$5.40,34.46
2018-12-31,147.28,$5.36,27.48
2018-09-30,166.39,$4.31,38.59
2018-06-30,157.71,$2.89,54.61
2018-03-31,149.87,$2.96,50.65
2017-12-31,143.78,$2.53,56.87
2017-09-30,131.48,$0.57,232.42
2017-06-30,128.09,$3.77,33.95
2017-03-31,121.14,$3.41,35.56
2016-12-31,109.89,$3.76,29.19
2016-09-30,106.4,$6.20,17.16
2016-06-30,109.17,$1.62,67.32
2016-03-31,97.43,$1.39,70.33
2015-12-31,84.1,$1.87,45.05
2015-09-30,84.81,$1.71,49.6
2015-06-30,85.81,$4.49,19.1
2015-03-31,82.54,$4.55,18.12
2014-12-31,84.09,$4.05,20.78
2014-09-30,71.72,$4.04,17.74
2014-06-30,74.61,$4.31,17.3
2014-03-31,71.83,$4.30,16.7
2013-12-31,66.0,$4.43,14.91
2013-09-30,59.13,$4.24,13.94
2013-06-30,56.36,$4.07,13.87
2013-03-31,56.62,$4.31,13.13
2012-12-31,47.38,$3.78,12.54
2012-09-30,47.88,$3.79,12.62
2012-06-30,47.22,$3.47,13.62
2012-03-31,47.36,$2.70,17.55
2011-12-31,42.27,$3.27,12.91
2011-09-30,39.9,$3.00,13.31
2011-06-30,49.51,$3.06,16.2
2011-03-31,51.13,$3.49,14.65
2010-12-31,45.03,$3.57,12.61
2010-09-30,41.83,$3.65,11.45
2010-06-30,41.71,$4.29,9.73
2010-03-31,47.54,$3.33,14.26
2009-12-31,41.74,$3.33,12.52
