Advanced Energy Industries Price to Free Cash Flow Ratio Historical Data,Advanced Energy Industries Price to Free Cash Flow Ratio Historical Data,Advanced Energy Industries Price to Free Cash Flow Ratio Historical Data,Advanced Energy Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,105.83,,54.14
2024-12-31,115.63,$1.95,59.16
2024-09-30,105.15,$1.96,53.62
2024-06-30,108.57,$2.96,36.67
2024-03-31,101.71,$3.31,30.72
2023-12-31,108.52,$3.92,27.69
2023-09-30,102.64,$3.42,30.01
2023-06-30,110.83,$3.22,34.46
2023-03-31,97.35,$3.75,25.94
2022-12-31,85.12,$3.31,25.75
2022-09-30,76.73,$2.73,28.14
2022-06-30,72.26,$1.67,43.35
2022-03-31,85.12,$1.73,49.34
2021-12-31,89.94,$2.98,30.13
2021-09-30,86.58,$3.65,23.72
2021-06-30,111.07,$4.79,23.2
2021-03-31,107.47,$4.87,22.07
2020-12-31,95.37,$4.28,22.3
2020-09-30,61.9,$3.09,20.05
2020-06-30,66.67,$1.76,37.96
2020-03-31,47.69,$1.11,43.16
2019-12-31,70.03,$0.60,116.17
2019-09-30,56.46,$1.19,47.28
2019-06-30,55.34,$1.65,33.56
2019-03-31,48.86,$2.68,18.26
2018-12-31,42.22,$3.33,12.69
2018-09-30,50.8,$3.64,13.97
2018-06-30,57.13,$3.84,14.89
2018-03-31,62.85,$4.09,15.38
2017-12-31,66.37,$4.32,15.35
2017-09-30,79.43,$4.14,19.19
2017-06-30,63.62,$4.20,15.16
2017-03-31,67.43,$3.51,19.19
2016-12-31,53.85,$2.81,19.17
2016-09-30,46.54,$2.65,17.54
2016-06-30,37.33,$2.23,16.72
2016-03-31,34.22,$2.06,16.65
2015-12-31,27.76,$2.48,11.2
2015-09-30,25.87,$2.18,11.89
2015-06-30,27.04,$2.01,13.46
2015-03-31,25.24,$2.37,10.66
2014-12-31,23.31,$1.80,12.92
2014-09-30,18.48,$2.37,7.81
2014-06-30,18.93,$2.20,8.62
2014-03-31,24.1,$0.94,25.62
2013-12-31,22.48,$0.79,28.4
2013-09-30,17.22,$0.04,456.8
2013-06-30,17.12,$0.67,25.42
2013-03-31,18.0,$1.82,9.91
2012-12-31,13.58,$2.60,5.21
2012-09-30,12.13,$2.45,4.94
2012-06-30,13.2,$1.91,6.9
2012-03-31,12.9,$1.24,10.41
2011-12-31,10.55,$0.44,24.15
2011-09-30,8.48,$0.80,10.63
2011-06-30,14.55,$0.25,57.25
2011-03-31,16.08,$0.23,68.93
2010-12-31,13.42,$-0.01,0.0
2010-09-30,12.84,$-0.38,0.0
2010-06-30,12.09,$-0.01,0.0
2010-03-31,16.29,$-0.21,0.0
2009-12-31,14.83,$0.09,173.87
