Lufax Holding Price to Free Cash Flow Ratio Historical Data,Lufax Holding Price to Free Cash Flow Ratio Historical Data,Lufax Holding Price to Free Cash Flow Ratio Historical Data,Lufax Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.01,,1.36
2024-09-30,3.49,$2.22,1.57
2024-06-30,2.37,$3.18,0.75
2024-03-31,4.22,$3.03,1.39
2023-12-31,3.07,$3.69,0.83
2023-09-30,1.06,$3.44,0.31
2023-06-30,1.43,$3.16,0.45
2023-03-31,2.04,$2.35,0.87
2022-12-31,1.94,$1.13,1.72
2022-09-30,2.37,$-0.42,0.0
2022-06-30,5.61,$-0.52,0.0
2022-03-31,4.92,$0.24,20.93
2021-12-31,4.97,$1.10,4.51
2021-09-30,6.16,$3.14,1.96
