Essent Group Price to Free Cash Flow Ratio Historical Data,Essent Group Price to Free Cash Flow Ratio Historical Data,Essent Group Price to Free Cash Flow Ratio Historical Data,Essent Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,55.85,,6.96
2024-12-31,54.44,$8.02,6.79
2024-09-30,63.98,$7.89,8.11
2024-06-30,55.67,$7.55,7.38
2024-03-31,58.96,$7.36,8.01
2023-12-31,51.99,$7.08,7.34
2023-09-30,46.38,$6.68,6.95
2023-06-30,45.67,$6.46,7.07
2023-03-31,38.87,$5.49,7.08
2022-12-31,37.5,$5.43,6.9
2022-09-30,33.44,$5.56,6.02
2022-06-30,37.1,$5.58,6.65
2022-03-31,39.11,$6.33,6.18
2021-12-31,43.01,$6.34,6.79
2021-09-30,41.38,$6.58,6.29
2021-06-30,42.1,$6.47,6.5
2021-03-31,44.33,$6.83,6.49
2020-12-31,40.17,$6.82,5.89
2020-09-30,34.29,$6.55,5.23
2020-06-30,33.45,$6.65,5.03
2020-03-31,24.18,$6.22,3.89
2019-12-31,47.54,$5.97,7.96
2019-09-30,43.47,$5.71,7.61
2019-06-30,42.71,$5.55,7.7
2019-03-31,39.5,$5.48,7.2
2018-12-31,31.07,$6.34,4.9
2018-09-30,40.22,$6.17,6.51
2018-06-30,32.56,$5.79,5.62
2018-03-31,38.69,$5.28,7.33
2017-12-31,39.47,$3.84,10.27
2017-09-30,36.81,$3.40,10.83
2017-06-30,33.76,$3.16,10.69
2017-03-31,32.88,$3.04,10.83
2016-12-31,29.42,$2.94,10.0
2016-09-30,24.19,$2.86,8.47
2016-06-30,19.83,$2.78,7.13
2016-03-31,18.91,$2.65,7.14
2015-12-31,19.9,$2.42,8.24
2015-09-30,22.59,$2.28,9.89
2015-06-30,24.86,$2.18,11.38
2015-03-31,21.73,$2.11,10.31
2014-12-31,23.37,$1.75,13.35
2014-09-30,19.46,$3.27,5.94
