Peoples Financial Services Price to Free Cash Flow Ratio Historical Data,Peoples Financial Services Price to Free Cash Flow Ratio Historical Data,Peoples Financial Services Price to Free Cash Flow Ratio Historical Data,Peoples Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,45.78,,12.11
2024-09-30,46.36,$3.78,12.27
2024-06-30,44.46,$2.64,16.87
2024-03-31,41.65,$3.98,10.46
2023-12-31,46.56,$3.84,12.12
2023-09-30,37.97,$4.00,9.49
2023-06-30,41.09,$4.44,9.26
2023-03-31,40.27,$4.01,10.04
2022-12-31,47.76,$4.95,9.66
2022-09-30,42.84,$5.48,7.81
2022-06-30,50.66,$5.65,8.97
2022-03-31,45.47,$4.70,9.67
2021-12-31,47.08,$5.10,9.24
2021-09-30,40.4,$7.75,5.21
2021-06-30,37.46,$4.16,9.01
2021-03-31,36.83,$5.10,7.22
2020-12-31,31.78,$4.90,6.48
2020-09-30,29.78,$1.51,19.79
2020-06-30,32.41,$4.96,6.54
2020-03-31,33.36,$4.78,6.99
2019-12-31,41.94,$4.28,9.79
2019-09-30,37.45,$4.05,9.24
2019-06-30,36.92,$3.97,9.31
2019-03-31,36.84,$3.73,9.89
2018-12-31,35.6,$4.09,8.71
2018-09-30,34.26,$3.86,8.88
2018-06-30,37.72,$3.94,9.57
2018-03-31,36.37,$3.63,10.03
2017-12-31,36.83,$3.10,11.88
2017-09-30,37.55,$3.33,11.27
2017-06-30,34.09,$2.71,12.58
2017-03-31,32.33,$3.07,10.52
2016-12-31,37.41,$3.00,12.45
2016-09-30,31.09,$3.23,9.64
2016-06-30,29.62,$3.73,7.95
2016-03-31,27.92,$3.17,8.81
2015-12-31,28.33,$3.36,8.43
2015-09-30,25.79,$3.48,7.42
2015-06-30,28.99,$2.94,9.87
2015-03-31,32.58,$3.09,10.56
2014-12-31,35.8,$3.16,11.33
2014-09-30,32.93,$1.86,17.73
2014-06-30,36.57,$2.14,17.1
2014-03-31,29.43,$2.55,11.53
2013-12-31,26.87,$2.79,9.63
2013-09-30,23.89,$3.10,7.7
2013-06-30,24.6,$3.38,7.28
2013-03-31,22.88,$3.54,6.46
2012-12-31,20.99,$2.33,8.99
2012-09-30,20.4,$2.95,6.92
2012-06-30,19.67,$2.21,8.9
2012-03-31,18.85,$2.63,7.15
2011-12-31,18.87,$3.21,5.88
2011-09-30,18.27,$-0.06,0.0
2011-06-30,17.81,$-0.09,0.0
2011-03-31,17.19,$0.55,30.98
2010-12-31,17.25,0,0.0
2010-09-30,18.03,$2.37,7.61
2010-06-30,16.61,$1.97,8.44
2010-03-31,13.73,0,0.0
2009-12-31,11.33,0,0.0
