Marine Products Price to Free Cash Flow Ratio Historical Data,Marine Products Price to Free Cash Flow Ratio Historical Data,Marine Products Price to Free Cash Flow Ratio Historical Data,Marine Products Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.2,,inf
2024-12-31,9.17,0,0.0
2024-09-30,9.56,$-0.35,0.0
2024-06-30,9.81,$-0.46,0.0
2024-03-31,10.56,$-0.30,0.0
2023-12-31,10.11,0,0.0
2023-09-30,12.42,$1.58,7.87
2023-06-30,14.61,$1.88,7.77
2023-03-31,11.32,$1.99,5.69
2022-12-31,10.0,$1.37,7.3
2022-09-30,7.1,$1.03,6.91
2022-06-30,7.89,$0.30,26.44
2022-03-31,9.48,$-0.13,0.0
2021-12-31,10.17,$-0.02,0.0
2021-09-30,10.08,$-0.08,0.0
2021-06-30,12.34,$0.68,18.06
2021-03-31,12.92,$0.91,14.16
2020-12-31,11.48,$0.84,13.7
2020-09-30,12.26,$0.80,15.25
2020-06-30,10.79,$0.95,11.34
2020-03-31,6.25,$0.79,7.95
2019-12-31,11.04,$0.95,11.61
2019-09-30,10.69,$0.92,11.68
2019-06-30,11.56,$0.42,27.74
2019-03-31,10.01,$0.73,13.75
2018-12-31,12.45,$0.61,20.27
2018-09-30,16.71,$0.79,21.12
2018-06-30,12.91,$0.82,15.67
2018-03-31,10.11,$0.73,13.79
2017-12-31,9.13,$0.81,11.31
2017-09-30,11.4,$0.54,21.04
2017-06-30,11.04,$0.60,18.53
2017-03-31,7.64,$0.41,18.67
2016-12-31,9.69,$0.37,26.23
2016-09-30,6.23,$0.39,15.97
2016-06-30,5.83,$0.35,16.88
2016-03-31,5.19,$0.45,11.53
2015-12-31,4.1,$0.34,12.09
2015-09-30,4.68,$0.25,19.07
2015-06-30,4.19,$0.35,12.06
2015-03-31,5.71,$0.20,28.3
2014-12-31,5.6,$0.31,17.85
2014-09-30,5.19,$0.37,13.84
2014-06-30,5.44,$0.37,14.66
2014-03-31,4.91,$0.35,14.03
2013-12-31,6.53,$0.28,23.27
2013-09-30,5.88,$0.19,30.41
2013-06-30,5.18,$0.20,25.34
2013-03-31,4.73,$0.24,20.05
2012-12-31,3.66,$0.21,17.22
2012-09-30,3.46,$0.17,19.84
2012-06-30,3.51,$0.11,30.96
2012-03-31,3.43,$0.13,25.9
2011-12-31,2.85,$0.08,35.6
2011-09-30,1.96,$0.14,14.03
2011-06-30,3.86,$0.18,20.89
2011-03-31,4.55,$0.34,13.54
2010-12-31,3.82,$0.29,13.07
2010-09-30,3.53,$0.15,23.39
2010-06-30,3.25,$-0.15,0.0
2010-03-31,3.45,$-0.32,0.0
2009-12-31,2.83,$-0.25,0.0
