DHT Holdings Price to Free Cash Flow Ratio Historical Data,DHT Holdings Price to Free Cash Flow Ratio Historical Data,DHT Holdings Price to Free Cash Flow Ratio Historical Data,DHT Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.13,,9.54
2024-09-30,10.8,$1.17,9.26
2024-06-30,11.05,$0.62,17.86
2024-03-31,10.72,$0.85,12.59
2023-12-31,8.97,$0.76,11.82
2023-09-30,9.24,$1.04,8.88
2023-06-30,7.39,$1.53,4.84
2023-03-31,9.11,$1.69,5.38
2022-12-31,7.23,$1.40,5.18
2022-09-30,6.13,$0.90,6.83
2022-06-30,4.95,$0.78,6.37
2022-03-31,4.67,$0.62,7.51
2021-12-31,4.16,$-0.16,0.0
2021-09-30,5.22,$0.23,22.3
2021-06-30,5.17,$0.83,6.2
2021-03-31,4.69,$1.44,3.26
2020-12-31,4.1,$2.95,1.39
2020-09-30,3.9,$2.63,1.48
2020-06-30,3.57,$1.94,1.84
2020-03-31,5.05,$1.12,4.52
2019-12-31,5.15,$0.61,8.49
2019-09-30,3.8,$-0.61,0.0
2019-06-30,3.64,$-0.08,0.0
2019-03-31,2.71,$-0.82,0.0
2018-12-31,2.35,$-0.94,0.0
2018-09-30,2.81,$0.34,8.3
2018-06-30,2.79,$-0.05,0.0
2018-03-31,2.01,$-0.51,0.0
2017-12-31,2.12,$-0.68,0.0
2017-09-30,2.33,$-0.57,0.0
2017-06-30,2.42,$-1.22,0.0
2017-03-31,2.56,$0.24,10.53
2016-12-31,2.33,$-0.21,0.0
2016-09-30,2.35,$-0.60,0.0
2016-06-30,2.7,$0.24,11.3
2016-03-31,2.95,$-0.14,0.0
2015-12-31,3.98,$0.56,7.08
2015-09-30,3.56,$0.90,3.95
2015-06-30,3.66,$0.13,27.99
2015-03-31,3.22,$-0.47,0.0
2014-12-31,3.35,$-3.61,0.0
2014-09-30,2.81,$-5.75,0.0
2014-06-30,3.28,$-4.90,0.0
2014-03-31,3.53,$-3.42,0.0
2013-12-31,3.1,$0.40,7.82
2013-09-30,1.97,$3.10,0.64
2013-06-30,2.01,$0.80,2.52
2013-03-31,2.14,$3.06,0.7
2012-12-31,1.82,$2.58,0.7
2012-09-30,2.77,$5.85,0.47
2012-06-30,3.18,$8.41,0.38
2012-03-31,4.78,$-5.32,0.0
2011-12-31,3.59,$-15.08,0.0
2011-09-30,9.67,$-16.45,0.0
2011-06-30,17.68,$-14.99,0.0
2011-03-31,21.7,$-2.15,0.0
2010-12-31,20.58,$8.40,2.45
2010-09-30,17.88,$8.19,2.18
2010-06-30,16.24,$9.75,1.67
2010-03-31,16.15,$9.75,1.66
2009-12-31,15.16,$12.75,1.19
