Eco Wave Power Global AB (publ) Price to Free Cash Flow Ratio Historical Data,Eco Wave Power Global AB (publ) Price to Free Cash Flow Ratio Historical Data,Eco Wave Power Global AB (publ) Price to Free Cash Flow Ratio Historical Data,Eco Wave Power Global AB (publ) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.28,,0.0
2024-12-31,11.0,$-0.33,0.0
2024-09-30,5.92,$-0.47,0.0
2024-06-30,2.92,$-0.44,0.0
2024-03-31,1.04,$-0.03,0.0
2023-12-31,1.24,$-0.47,0.0
2023-09-30,2.85,$0.09,30.88
2023-06-30,2.5,$-0.08,0.0
2022-12-31,2.98,$-0.44,0.0
2022-09-30,3.85,$0.27,14.27
2022-06-30,4.24,$-0.09,0.0
