Tredegar Price to Free Cash Flow Ratio Historical Data,Tredegar Price to Free Cash Flow Ratio Historical Data,Tredegar Price to Free Cash Flow Ratio Historical Data,Tredegar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.6,,23.21
2024-12-31,7.68,$0.33,23.46
2024-09-30,7.29,$-0.76,0.0
2024-06-30,4.79,$-0.19,0.0
2024-03-31,6.52,$0.17,38.58
2023-12-31,5.41,$-0.07,0.0
2023-09-30,5.41,$0.37,14.54
2023-06-30,6.67,$-0.83,0.0
2023-03-31,8.94,$-0.47,0.0
2022-12-31,9.86,$-1.71,0.0
2022-09-30,9.0,$-1.10,0.0
2022-06-30,9.41,$-0.15,0.0
2022-03-31,11.16,$-0.49,0.0
2021-12-31,10.9,$1.42,7.65
2021-09-30,11.11,$1.03,10.74
2021-06-30,12.44,$1.61,7.74
2021-03-31,13.46,$1.36,9.91
2020-12-31,14.87,$1.53,9.74
2020-09-30,7.41,$2.06,3.6
2020-06-30,7.62,$1.77,4.31
2020-03-31,7.68,$2.64,2.9
2019-12-31,10.86,$2.28,4.76
2019-09-30,9.44,$1.47,6.4
2019-06-30,7.99,$1.32,6.03
2019-03-31,7.7,$1.40,5.5
2018-12-31,7.52,$1.76,4.28
2018-09-30,10.19,$2.92,3.49
2018-06-30,11.01,$3.24,3.4
2018-03-31,8.37,$1.91,4.38
2017-12-31,8.9,$1.33,6.67
2017-09-30,8.29,$0.52,15.99
2017-06-30,6.98,$0.02,293.3
2017-03-31,7.98,$-0.02,0.0
2016-12-31,10.85,$0.17,62.12
2016-09-30,8.36,$1.13,7.38
2016-06-30,7.21,$1.16,6.24
2016-03-31,6.98,$1.08,6.45
2015-12-31,6.0,$1.32,4.57
2015-09-30,5.72,$0.30,19.32
2015-06-30,9.59,$0.47,20.32
2015-03-31,8.68,$0.42,20.78
2014-12-31,9.67,$0.26,37.19
2014-09-30,7.87,$0.52,15.04
2014-06-30,9.97,$0.31,31.89
2014-03-31,9.76,$-0.01,0.0
2013-12-31,12.18,$-0.05,0.0
2013-09-30,10.96,$0.43,25.65
2013-06-30,10.81,$0.65,16.53
2013-03-31,12.34,$1.33,9.25
2012-12-31,8.54,$1.64,5.2
2012-09-30,7.11,$1.55,4.58
2012-06-30,5.81,$1.73,3.37
2012-03-31,7.79,$2.09,3.73
2011-12-31,8.82,$1.79,4.94
2011-09-30,5.87,$1.54,3.82
2011-06-30,7.24,$1.29,5.63
2011-03-31,8.49,$0.99,8.56
2010-12-31,7.61,$0.91,8.33
2010-09-30,7.43,$0.86,8.68
2010-06-30,6.38,$1.33,4.81
2010-03-31,6.66,$1.30,5.11
2009-12-31,6.16,$2.11,2.91
