AirJoule Technologies Price to Free Cash Flow Ratio Historical Data,AirJoule Technologies Price to Free Cash Flow Ratio Historical Data,AirJoule Technologies Price to Free Cash Flow Ratio Historical Data,AirJoule Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.64,,0.0
2024-09-30,5.8,$-0.56,0.0
2024-06-30,10.31,$-0.54,0.0
2024-03-31,11.29,$-0.40,0.0
2023-12-31,10.74,$-0.28,0.0
2023-09-30,10.6,$-0.15,0.0
2023-06-30,10.4,$-0.11,0.0
2023-03-31,10.25,$-0.09,0.0
2022-12-31,10.07,$-0.24,0.0
