VersaBank Price to Free Cash Flow Ratio Historical Data,VersaBank Price to Free Cash Flow Ratio Historical Data,VersaBank Price to Free Cash Flow Ratio Historical Data,VersaBank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.33,,1.73
2025-01-31,13.84,$5.97,2.32
2024-10-31,15.0,$7.19,2.09
2024-07-31,12.12,$4.85,2.5
2024-04-30,10.05,$-1.34,0.0
2024-01-31,11.28,$-1.78,0.0
2023-10-31,7.65,$2.66,2.87
2023-07-31,8.88,$1.03,8.63
2023-04-30,7.35,$5.59,1.31
2023-01-31,7.8,$5.77,1.35
2022-10-31,6.94,$-0.94,0.0
2022-07-31,7.42,$-5.28,0.0
