Group 1 Automotive Price to Free Cash Flow Ratio Historical Data,Group 1 Automotive Price to Free Cash Flow Ratio Historical Data,Group 1 Automotive Price to Free Cash Flow Ratio Historical Data,Group 1 Automotive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,396.3,,9.16
2024-12-31,421.48,$43.25,9.75
2024-09-30,382.62,$17.95,21.32
2024-06-30,296.58,$14.75,20.11
2024-03-31,291.55,$29.67,9.83
2023-12-31,303.5,$14.50,20.94
2023-09-30,267.19,$29.07,9.19
2023-06-30,256.2,$29.19,8.78
2023-03-31,224.3,$28.88,7.77
2022-12-31,178.32,$36.89,4.83
2022-09-30,140.96,$43.20,3.26
2022-06-30,167.18,$49.26,3.39
2022-03-31,164.9,$68.93,2.39
2021-12-31,191.43,$64.45,2.97
2021-09-30,183.9,$64.37,2.86
2021-06-30,150.85,$45.61,3.31
2021-03-31,153.82,$52.33,2.94
2020-12-31,127.58,$41.12,3.1
2020-09-30,85.77,$36.21,2.37
2020-06-30,64.02,$37.58,1.7
2020-03-31,42.95,$6.35,6.77
2019-12-31,96.7,$12.43,7.78
2019-09-30,89.01,$6.09,14.63
2019-06-30,78.67,$9.78,8.04
2019-03-31,61.93,$13.85,4.47
2018-12-31,50.25,$12.15,4.14
2018-09-30,61.58,$9.24,6.67
2018-06-30,59.58,$12.70,4.69
2018-03-31,61.56,$3.48,17.68
2017-12-31,66.61,$-0.42,0.0
2017-09-30,67.8,$5.26,12.89
2017-06-30,59.0,$4.61,12.81
2017-03-31,68.76,$7.67,8.96
2016-12-31,72.12,$10.75,6.71
2016-09-30,58.92,$9.48,6.21
2016-06-30,45.36,$6.54,6.94
2016-03-31,53.73,$5.44,9.88
2015-12-31,69.02,$2.69,25.62
2015-09-30,77.43,$1.68,46.15
2015-06-30,82.4,$6.68,12.33
2015-03-31,78.13,$5.10,15.32
2014-12-31,80.91,$7.74,10.46
2014-09-30,65.51,$8.78,7.46
2014-06-30,75.79,$0.06,1184.29
2014-03-31,58.9,$3.76,15.68
2013-12-31,63.55,$2.04,31.12
2013-09-30,69.34,$4.18,16.59
2013-06-30,57.29,$2.96,19.38
2013-03-31,53.36,$-1.83,0.0
2012-12-31,54.93,$-5.49,0.0
2012-09-30,53.24,$-8.91,0.0
2012-06-30,40.2,$-5.56,0.0
2012-03-31,49.37,$3.11,15.89
2011-12-31,45.41,$6.21,7.31
2011-09-30,31.08,$9.41,3.3
2011-06-30,35.88,$5.52,6.5
2011-03-31,37.19,$-1.09,0.0
2010-12-31,36.19,$-3.85,0.0
2010-09-30,25.83,$-5.79,0.0
2010-06-30,20.34,$0.33,61.58
2010-03-31,27.54,$5.23,5.27
2009-12-31,24.51,$15.86,1.54
