IRadimed Price to Free Cash Flow Ratio Historical Data,IRadimed Price to Free Cash Flow Ratio Historical Data,IRadimed Price to Free Cash Flow Ratio Historical Data,IRadimed Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,52.5,,39.93
2024-12-31,55.0,$1.31,41.83
2024-09-30,50.15,$1.34,37.31
2024-06-30,43.66,$1.02,42.79
2024-03-31,43.56,$0.85,51.45
2023-12-31,47.0,$0.43,109.57
2023-09-30,43.34,$0.37,115.88
2023-06-30,46.63,$0.57,82.24
2023-03-31,38.44,$0.42,92.24
2022-12-31,26.85,$0.65,41.54
2022-09-30,28.53,$0.70,40.94
2022-06-30,32.21,$0.68,47.49
2022-03-31,42.56,$0.85,49.9
2021-12-31,42.99,$0.84,51.47
2021-09-30,31.25,$0.77,40.33
2021-06-30,27.36,$0.62,44.17
2021-03-31,23.97,$0.40,59.97
2020-12-31,21.21,$0.42,50.93
2020-09-30,19.89,$0.53,37.71
2020-06-30,21.59,$0.68,31.81
2020-03-31,19.86,$0.83,24.07
2019-12-31,21.75,$0.79,27.39
2019-09-30,19.56,$0.78,25.2
2019-06-30,19.03,$0.58,32.66
2019-03-31,26.13,$0.50,51.86
2018-12-31,22.76,$0.59,38.75
2018-09-30,34.56,$0.41,84.82
2018-06-30,19.3,$0.50,38.83
2018-03-31,13.4,$0.39,34.28
2017-12-31,14.09,$0.22,63.75
2017-09-30,8.93,$0.26,34.04
2017-06-30,8.0,$0.40,20.04
2017-03-31,8.28,$0.46,17.99
2016-12-31,10.33,$0.66,15.71
2016-09-30,15.81,$0.70,22.59
2016-06-30,20.24,$0.60,33.75
2016-03-31,17.83,$0.66,27.13
2015-12-31,26.08,$0.58,44.65
2015-09-30,22.66,$0.32,69.78
2015-06-30,21.65,$0.41,52.88
