Berry Price to Free Cash Flow Ratio Historical Data,Berry Price to Free Cash Flow Ratio Historical Data,Berry Price to Free Cash Flow Ratio Historical Data,Berry Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.49,,2.33
2024-12-31,4.13,$1.50,2.76
2024-09-30,5.14,$1.96,2.62
2024-06-30,6.46,$1.85,3.49
2024-03-31,8.05,$2.00,4.02
2023-12-31,7.03,$1.62,4.34
2023-09-30,8.2,$1.49,5.49
2023-06-30,6.88,$1.61,4.27
2023-03-31,7.85,$2.01,3.9
2022-12-31,8.0,$2.52,3.18
2022-09-30,7.5,$2.00,3.75
2022-06-30,7.15,$1.14,6.28
2022-03-31,9.5,$-0.05,0.0
2021-12-31,7.7,$-0.13,0.0
2021-09-30,6.55,$0.16,40.29
2021-06-30,6.04,$0.99,6.07
2021-03-31,4.92,$1.56,3.16
2020-12-31,3.27,$1.43,2.28
2020-09-30,2.82,$1.44,1.96
2020-06-30,4.29,$0.83,5.15
2020-03-31,2.14,$0.75,2.87
2019-12-31,8.01,$0.34,23.47
2019-09-30,7.84,$0.34,23.0
2019-06-30,8.77,$-0.77,0.0
