OLB Price to Free Cash Flow Ratio Historical Data,OLB Price to Free Cash Flow Ratio Historical Data,OLB Price to Free Cash Flow Ratio Historical Data,OLB Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.2,,0.0
2024-09-30,2.56,$-0.83,0.0
2024-06-30,3.0,$-0.60,0.0
2024-03-31,0.57,$0.54,1.06
2023-12-31,1.06,$0.54,1.96
2023-09-30,0.73,$-0.66,0.0
2023-06-30,0.91,$-1.53,0.0
2023-03-31,1.02,$-1.99,0.0
2022-12-31,0.84,$-2.37,0.0
2022-09-30,1.06,$-8.10,0.0
2022-06-30,0.88,$-15.13,0.0
2022-03-31,1.75,$-15.47,0.0
2021-12-31,2.65,$-16.55,0.0
2021-09-30,4.0,$-8.94,0.0
2021-06-30,5.46,$-1.97,0.0
