Citius Oncology Price to Free Cash Flow Ratio Historical Data,Citius Oncology Price to Free Cash Flow Ratio Historical Data,Citius Oncology Price to Free Cash Flow Ratio Historical Data,Citius Oncology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.61,,321.05
2024-12-31,1.15,$0.00,0.0
2024-09-30,1.39,$0.00,0.0
2024-06-30,11.36,$0.05,212.73
2024-03-31,11.06,$-0.07,0.0
2023-12-31,10.94,$-0.06,0.0
2023-09-30,10.77,$-0.06,0.0
