Simmons First National Price to Free Cash Flow Ratio Historical Data,Simmons First National Price to Free Cash Flow Ratio Historical Data,Simmons First National Price to Free Cash Flow Ratio Historical Data,Simmons First National Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.5,,6.8
2024-12-31,22.18,$3.02,7.35
2024-09-30,21.35,$5.71,3.74
2024-06-30,17.25,$3.86,4.47
2024-03-31,18.85,$3.69,5.1
2023-12-31,19.0,$4.01,4.74
2023-09-30,16.08,$1.49,10.81
2023-06-30,16.17,$2.16,7.5
2023-03-31,16.21,$2.53,6.42
2022-12-31,19.8,$2.31,8.59
2022-09-30,19.8,$1.96,10.11
2022-06-30,19.16,$1.77,10.81
2022-03-31,23.43,$1.92,12.2
2021-12-31,26.26,$2.14,12.29
2021-09-30,26.08,$2.97,8.78
2021-06-30,25.72,$2.72,9.46
2021-03-31,25.85,$1.59,16.29
2020-12-31,18.71,$1.72,10.87
2020-09-30,13.63,$0.74,18.3
2020-06-30,14.56,$1.47,9.87
2020-03-31,15.49,$1.83,8.45
2019-12-31,22.34,$1.91,11.72
2019-09-30,20.63,$2.32,8.88
2019-06-30,19.16,$2.09,9.17
2019-03-31,20.02,$2.22,9.03
2018-12-31,19.61,$2.12,9.23
2018-09-30,23.8,$1.38,17.3
2018-06-30,24.05,$1.46,16.49
2018-03-31,22.77,$1.73,13.18
2017-12-31,22.74,$1.20,18.95
2017-09-30,22.95,$1.36,16.88
2017-06-30,20.88,$1.33,15.73
2017-03-31,21.66,$1.60,13.58
2016-12-31,24.3,$1.19,20.37
2016-09-30,19.44,$1.33,14.58
2016-06-30,17.91,$1.86,9.62
2016-03-31,17.39,$0.90,19.33
2015-12-31,19.71,$1.33,14.77
2015-09-30,18.31,$1.35,13.56
2015-06-30,17.74,$0.71,24.83
2015-03-31,17.19,$1.09,15.84
2014-12-31,15.29,$0.90,17.02
2014-09-30,14.41,$0.79,18.35
2014-06-30,14.66,$0.60,24.35
2014-03-31,13.8,$0.69,20.0
2013-12-31,13.67,$0.96,14.28
2013-09-30,11.37,$1.18,9.66
2013-06-30,9.47,$0.89,10.63
2013-03-31,9.12,$1.11,8.24
2012-12-31,9.05,$1.00,9.06
2012-09-30,8.62,$0.79,10.93
2012-06-30,8.16,$0.60,13.51
2012-03-31,8.99,$0.32,28.33
2011-12-31,9.39,$0.44,21.57
2011-09-30,7.44,$0.91,8.21
2011-06-30,8.73,$1.23,7.08
2011-03-31,9.14,$1.08,8.45
2010-12-31,9.55,$1.02,9.39
2010-09-30,9.41,$0.43,21.98
2010-06-30,8.68,$0.85,10.2
2010-03-31,9.05,$0.97,9.3
2009-12-31,9.06,$0.88,10.29
