SB Financial Price to Free Cash Flow Ratio Historical Data,SB Financial Price to Free Cash Flow Ratio Historical Data,SB Financial Price to Free Cash Flow Ratio Historical Data,SB Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.78,,16.88
2024-12-31,20.91,$1.23,16.99
2024-09-30,20.4,$1.33,15.34
2024-06-30,13.77,$1.99,6.92
2024-03-31,13.41,$2.55,5.27
2023-12-31,14.81,$1.88,7.86
2023-09-30,12.89,$2.64,4.88
2023-06-30,11.94,$2.77,4.31
2023-03-31,13.23,$2.97,4.45
2022-12-31,15.75,$3.34,4.71
2022-09-30,15.54,$3.13,4.97
2022-06-30,15.8,$2.42,6.54
2022-03-31,18.11,$1.96,9.25
2021-12-31,16.94,$2.08,8.14
2021-09-30,15.57,$3.03,5.14
2021-06-30,15.74,$3.06,5.14
2021-03-31,15.44,$3.42,4.51
2020-12-31,15.37,$2.91,5.28
2020-09-30,11.27,$2.30,4.91
2020-06-30,13.78,$1.90,7.24
2020-03-31,9.16,$0.93,9.82
2019-12-31,16.14,$2.02,8.0
2019-09-30,13.62,$1.00,13.59
2019-06-30,13.34,$0.17,80.36
2019-03-31,14.53,$1.49,9.73
2018-12-31,13.21,$1.48,8.93
2018-09-30,16.26,$1.49,10.9
2018-06-30,16.17,$2.65,6.11
2018-03-31,14.66,$1.41,10.4
2017-12-31,14.59,$0.91,15.98
2017-09-30,13.49,$0.76,17.71
2017-06-30,13.21,$0.88,14.99
2017-03-31,13.03,$1.33,9.82
2016-12-31,12.47,$1.85,6.73
2016-09-30,9.68,$1.42,6.83
2016-06-30,8.36,$1.33,6.3
2016-03-31,7.88,$1.21,6.54
2015-12-31,8.47,$0.31,27.42
2015-09-30,7.77,$0.85,9.17
2015-06-30,7.97,$0.81,9.79
2015-03-31,7.91,$0.95,8.34
2014-12-31,7.01,$0.60,11.74
2014-09-30,6.72,$0.48,14.05
2014-06-30,6.18,$2.12,2.92
2014-03-31,6.14,$1.91,3.21
2013-12-31,5.77,$2.56,2.26
2013-09-30,5.66,$2.73,2.08
2013-06-30,5.53,$1.14,4.86
2013-03-31,6.18,$1.95,3.18
2012-12-31,4.7,$1.29,3.64
2012-09-30,4.92,$2.07,2.37
2012-06-30,5.05,$1.61,3.13
2012-03-31,2.85,$1.06,2.68
2011-12-31,1.9,$2.79,0.68
2011-09-30,1.95,$2.71,0.72
2011-06-30,2.2,$2.61,0.84
2011-03-31,2.19,$2.88,0.76
2010-12-31,2.87,$2.87,1.0
2010-09-30,2.3,$0.36,6.39
2010-06-30,2.92,$0.74,3.92
2010-03-31,4.91,$0.11,45.32
2009-12-31,4.94,$-2.06,0.0
