Hubbell Inc Price to Free Cash Flow Ratio Historical Data,Hubbell Inc Price to Free Cash Flow Ratio Historical Data,Hubbell Inc Price to Free Cash Flow Ratio Historical Data,Hubbell Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,339.18,,19.62
2024-12-31,418.89,$17.29,24.23
2024-09-30,427.12,$13.52,31.6
2024-06-30,363.33,$15.23,23.86
2024-03-31,412.6,$14.99,27.53
2023-12-31,325.92,$13.24,24.61
2023-09-30,309.26,$11.30,27.37
2023-06-30,326.05,$11.65,28.0
2023-03-31,238.34,$11.26,21.17
2022-12-31,228.87,$15.52,14.75
2022-09-30,216.51,$15.83,13.67
2022-06-30,172.51,$13.87,12.44
2022-03-31,176.56,$13.03,13.55
2021-12-31,198.94,$7.90,25.19
2021-09-30,171.68,$6.41,26.79
2021-06-30,176.71,$7.55,23.42
2021-03-31,175.85,$8.50,20.68
2020-12-31,146.72,$9.54,15.37
2020-09-30,127.28,$8.94,14.24
2020-06-30,115.88,$9.85,11.77
2020-03-31,105.3,$8.52,12.36
2019-12-31,134.73,$7.86,17.13
2019-09-30,119.03,$9.24,12.89
2019-06-30,117.36,$8.85,13.27
2019-03-31,105.43,$9.20,11.46
2018-12-31,88.15,$7.79,11.31
2018-09-30,118.52,$7.46,15.88
2018-06-30,93.25,$5.89,15.83
2018-03-31,106.65,$4.47,23.85
2017-12-31,117.85,$5.77,20.44
2017-09-30,100.41,$5.54,18.14
2017-06-30,97.33,$6.41,15.19
2017-03-31,102.63,$6.42,15.98
2016-12-31,99.19,$6.37,15.58
2016-09-30,91.01,$8.56,10.63
