Daxor Price to Free Cash Flow Ratio Historical Data,Daxor Price to Free Cash Flow Ratio Historical Data,Daxor Price to Free Cash Flow Ratio Historical Data,Daxor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.39,,0.0
2011-12-31,8.64,$-1.57,0.0
2011-09-30,9.93,$-1.78,0.0
2011-06-30,9.57,$-1.91,0.0
2011-03-31,9.51,$-1.85,0.0
2010-12-31,8.58,$-1.40,0.0
2010-09-30,8.0,$-1.25,0.0
2010-06-30,8.55,$-1.17,0.0
2010-03-31,9.5,$-1.27,0.0
2009-12-31,10.15,$-1.72,0.0
