Sempra Energy Price to Free Cash Flow Ratio Historical Data,Sempra Energy Price to Free Cash Flow Ratio Historical Data,Sempra Energy Price to Free Cash Flow Ratio Historical Data,Sempra Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,70.0,,0.0
2024-12-31,87.72,$-5.19,0.0
2024-09-30,83.06,$-5.43,0.0
2024-06-30,74.98,$-4.64,0.0
2024-03-31,70.23,$-3.81,0.0
2023-12-31,72.43,$-3.44,0.0
2023-09-30,65.38,$-4.86,0.0
2023-06-30,68.8,$-7.53,0.0
2023-03-31,71.44,$-7.06,0.0
2022-12-31,72.44,$-6.66,0.0
2022-09-30,69.78,$-4.13,0.0
2022-06-30,68.91,$-1.53,0.0
2022-03-31,77.1,$-1.70,0.0
2021-12-31,60.23,$-1.81,0.0
2021-09-30,57.11,$-1.65,0.0
2021-06-30,58.82,$-1.83,0.0
2021-03-31,58.86,$-3.51,0.0
2020-12-31,56.09,$-3.53,0.0
2020-09-30,51.69,$-3.09,0.0
2020-06-30,50.74,$-3.20,0.0
2020-03-31,48.47,$0.10,483.3
2019-12-31,64.32,$0.49,130.04
2019-09-30,62.27,$3.59,17.36
2019-06-30,57.19,$4.88,11.71
2019-03-31,52.37,$3.79,13.8
2018-12-31,44.67,$2.88,15.53
2018-09-30,46.58,$0.21,226.44
2018-06-30,47.18,$-0.60,0.0
2018-03-31,44.84,$-0.18,0.0
2017-12-31,42.76,$-0.13,0.0
2017-09-30,45.3,$-1.34,0.0
2017-06-30,44.11,$-0.81,0.0
2017-03-31,43.23,$-1.56,0.0
2016-12-31,39.08,$-2.27,0.0
2016-09-30,41.32,$-1.45,0.0
2016-06-30,43.65,$-1.25,0.0
2016-03-31,39.56,$-0.52,0.0
2015-12-31,35.48,$0.23,154.81
2015-09-30,36.24,$0.11,334.33
2015-06-30,36.79,$-0.47,0.0
2015-03-31,40.26,$-1.77,0.0
2014-12-31,40.86,$-1.62,0.0
2014-09-30,38.44,$-0.84,0.0
2014-06-30,37.95,$-1.34,0.0
2014-03-31,34.85,$-0.85,0.0
2013-12-31,32.11,$-0.44,0.0
2013-09-30,30.4,$-1.54,0.0
2013-06-30,28.83,$-1.06,0.0
2013-03-31,27.98,$-0.91,0.0
2012-12-31,24.63,$-1.75,0.0
2012-09-30,22.21,$-2.34,0.0
2012-06-30,23.5,$-2.58,0.0
2012-03-31,20.27,$-2.66,0.0
2011-12-31,18.41,$-2.02,0.0
2011-09-30,17.08,$-0.50,0.0
2011-06-30,17.37,$-0.32,0.0
2011-03-31,17.42,$0.32,53.89
2010-12-31,16.93,$0.80,21.25
2010-09-30,17.22,$-0.61,0.0
2010-06-30,14.87,$-0.33,0.0
2010-03-31,15.73,$-0.15,0.0
2009-12-31,17.52,$0.29,61.03
