Asset Entities Price to Free Cash Flow Ratio Historical Data,Asset Entities Price to Free Cash Flow Ratio Historical Data,Asset Entities Price to Free Cash Flow Ratio Historical Data,Asset Entities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.5,,0.0
2024-09-30,1.3,$-1.41,0.0
2024-06-30,0.38,$-1.48,0.0
2024-03-31,0.71,$-1.45,0.0
2023-12-31,0.64,$-1.41,0.0
