Eventbrite Price to Free Cash Flow Ratio Historical Data,Eventbrite Price to Free Cash Flow Ratio Historical Data,Eventbrite Price to Free Cash Flow Ratio Historical Data,Eventbrite Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.34,,7.98
2024-12-31,3.36,$0.29,11.45
2024-09-30,2.73,$-0.03,0.0
2024-06-30,4.84,$-0.06,0.0
2024-03-31,5.48,$-0.00,0.0
2023-12-31,8.36,$0.12,70.79
2023-09-30,9.86,$0.30,33.14
2023-06-30,9.55,$-0.01,0.0
2023-03-31,8.58,$-0.01,0.0
2022-12-31,5.86,$0.04,138.53
2022-09-30,6.08,$0.32,19.14
2022-06-30,10.27,$-0.02,0.0
2022-03-31,14.77,$1.24,11.94
2021-12-31,17.44,$0.88,19.74
2021-09-30,18.91,$0.84,22.52
2021-06-30,19.0,$1.02,18.7
2021-03-31,22.16,$-0.82,0.0
2020-12-31,18.1,$-1.84,0.0
2020-09-30,10.85,$-2.28,0.0
2020-06-30,8.57,$-1.86,0.0
2020-03-31,7.3,$-1.44,0.0
2019-12-31,20.17,$0.20,101.1
2019-09-30,17.71,$-1.26,0.0
2019-06-30,16.2,$0.46,35.06
