Mama's Creations Price to Free Cash Flow Ratio Historical Data,Mama's Creations Price to Free Cash Flow Ratio Historical Data,Mama's Creations Price to Free Cash Flow Ratio Historical Data,Mama's Creations Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.39,,32.57
2024-10-31,7.45,$0.20,37.97
2024-07-31,7.62,$0.16,47.18
2024-04-30,5.94,$0.31,19.36
2024-01-31,4.31,$0.28,15.27
2023-10-31,3.38,$0.17,19.82
2023-07-31,3.71,$0.22,17.13
2023-04-30,2.04,$0.21,9.59
2023-01-31,2.0,$0.13,15.17
2022-10-31,1.03,$0.03,31.12
2022-07-31,1.46,$-0.03,0.0
2022-04-30,1.75,$-0.04,0.0
