Bio-Path Holdings Price to Free Cash Flow Ratio Historical Data,Bio-Path Holdings Price to Free Cash Flow Ratio Historical Data,Bio-Path Holdings Price to Free Cash Flow Ratio Historical Data,Bio-Path Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-02-18,0.21,,0.0
2024-09-30,0.91,$-7.36,0.0
2024-06-30,2.0,$-9.34,0.0
2024-03-31,4.12,$-16.56,0.0
2023-12-31,9.26,$-24.13,0.0
2023-09-30,7.4,$-32.60,0.0
2023-06-30,35.6,$-40.13,0.0
2023-03-31,27.8,$-43.67,0.0
2022-12-31,30.2,$-41.55,0.0
2022-09-30,63.8,$-37.63,0.0
2022-06-30,77.4,$-36.28,0.0
2022-03-31,76.8,$-31.26,0.0
2021-12-31,75.4,$-29.70,0.0
2021-09-30,102.6,$-32.00,0.0
2021-06-30,133.4,$-36.67,0.0
2021-03-31,140.4,$-48.74,0.0
2020-12-31,70.0,$-56.98,0.0
2020-09-30,84.8,$-65.68,0.0
2020-06-30,101.0,$-65.65,0.0
2020-03-31,90.0,$-53.04,0.0
2019-12-31,159.8,$-62.94,0.0
2019-09-30,190.0,$-78.76,0.0
2019-06-30,267.8,$-116.12,0.0
2019-03-31,407.8,$-170.06,0.0
2018-12-31,70.0,$-205.73,0.0
2018-09-30,236.0,$-256.02,0.0
2018-06-30,596.0,$-264.22,0.0
2018-03-31,800.0,$-301.72,0.0
2017-12-31,810.0,$-337.10,0.0
2017-09-30,1440.0,$-342.39,0.0
2017-06-30,1552.8,$-352.20,0.0
2017-03-31,3308.4,$-354.75,0.0
2016-12-31,5400.0,$-366.17,0.0
2016-09-30,5600.0,$-319.04,0.0
2016-06-30,7960.0,$-305.52,0.0
2016-03-31,10360.0,$-266.52,0.0
2015-12-31,5000.0,$-223.03,0.0
2015-09-30,4560.0,$-232.68,0.0
2015-06-30,4600.0,$-226.71,0.0
2015-03-31,7200.0,$-214.73,0.0
2014-12-31,10640.0,$-176.52,0.0
2014-09-30,8040.0,$-154.46,0.0
2014-06-30,12200.0,$-135.86,0.0
2014-03-31,10600.0,$-118.62,0.0
2013-12-31,16000.0,$-129.64,0.0
2013-09-30,6400.0,$-125.41,0.0
2013-06-30,2040.0,$-131.90,0.0
2013-03-31,1880.0,$-142.43,0.0
2012-12-31,1400.0,$-134.42,0.0
2012-09-30,1480.0,$-140.14,0.0
2012-06-30,1489.6,$-126.29,0.0
2012-03-31,1240.0,$-102.73,0.0
2011-12-31,1400.0,$-85.43,0.0
2011-09-30,1400.0,$-65.98,0.0
2011-06-30,1240.0,$-89.53,0.0
2011-03-31,1693.2,$-80.91,0.0
2010-12-31,1408.0,$-95.38,0.0
2010-09-30,1600.0,$-103.16,0.0
2010-06-30,1600.0,$-77.80,0.0
2010-03-31,1840.0,$-103.96,0.0
2009-12-31,1720.0,$-148.06,0.0
