DuPont De Nemours Price to Free Cash Flow Ratio Historical Data,DuPont De Nemours Price to Free Cash Flow Ratio Historical Data,DuPont De Nemours Price to Free Cash Flow Ratio Historical Data,DuPont De Nemours Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,76.93,,18.49
2024-12-31,76.25,$4.16,18.33
2024-09-30,88.71,$7.02,12.64
2024-06-30,79.77,$6.97,11.44
2024-03-31,75.98,$6.55,11.6
2023-12-31,75.82,$6.24,12.15
2023-09-30,73.15,$23.67,3.09
2023-06-30,69.74,$23.23,3.0
2023-03-31,69.69,$23.55,2.96
2022-12-31,66.32,$23.12,2.87
2022-09-30,48.47,$2.89,16.76
2022-06-30,53.16,$3.35,15.86
2022-03-31,70.04,$3.17,22.12
2021-12-31,76.57,$3.41,22.46
2021-09-30,64.2,$3.80,16.91
2021-06-30,72.8,$4.60,15.82
2021-03-31,72.42,$4.64,15.61
2020-12-31,66.36,$5.35,12.41
2020-09-30,51.53,$4.27,12.08
2020-06-30,49.07,$2.99,16.44
2020-03-31,31.31,$1.23,25.54
2019-12-31,58.56,$-1.02,0.0
2019-09-30,64.75,$3.68,17.61
2019-06-30,67.88,$0.99,68.92
2019-03-31,68.54,$3.66,18.7
2018-12-31,68.28,$1.28,53.45
2018-09-30,82.11,$2.32,35.37
2018-06-30,83.71,$-5.21,0.0
