Acushnet Price to Free Cash Flow Ratio Historical Data,Acushnet Price to Free Cash Flow Ratio Historical Data,Acushnet Price to Free Cash Flow Ratio Historical Data,Acushnet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,66.28,,24.75
2024-12-31,71.08,$2.68,26.54
2024-09-30,63.57,$3.84,16.57
2024-06-30,63.09,$4.29,14.7
2024-03-31,65.54,$4.02,16.3
2023-12-31,62.57,$4.39,14.25
2023-09-30,52.36,$3.28,15.96
2023-06-30,53.8,$1.08,49.83
2023-03-31,49.9,$-0.83,0.0
2022-12-31,41.44,$-1.78,0.0
2022-09-30,42.28,$-1.07,0.0
2022-06-30,40.37,$0.30,135.28
2022-03-31,38.83,$1.78,21.81
2021-12-31,50.97,$3.67,13.87
2021-09-30,44.71,$4.64,9.64
2021-06-30,47.14,$5.21,9.06
2021-03-31,39.32,$3.75,10.48
2020-12-31,38.42,$3.19,12.03
2020-09-30,31.72,$2.34,13.54
2020-06-30,32.69,$0.80,40.86
2020-03-31,24.06,$1.55,15.54
2019-12-31,30.21,$1.34,22.58
2019-09-30,24.42,$1.31,18.66
2019-06-30,24.17,$1.44,16.73
2019-03-31,21.17,$1.72,12.3
2018-12-31,19.17,$1.73,11.05
2018-09-30,24.95,$1.24,20.16
2018-06-30,22.14,$1.39,15.97
2018-03-31,20.79,$1.20,17.26
2017-12-31,18.88,$-0.62,0.0
2017-09-30,15.81,$0.91,17.33
