Pyxis Tankers Price to Free Cash Flow Ratio Historical Data,Pyxis Tankers Price to Free Cash Flow Ratio Historical Data,Pyxis Tankers Price to Free Cash Flow Ratio Historical Data,Pyxis Tankers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.3,,9.27
2024-09-30,4.95,$0.36,13.91
2024-06-30,5.09,$-1.41,0.0
2024-03-31,4.77,$0.27,17.58
2023-12-31,4.17,$4.32,0.96
2023-09-30,3.72,$1.65,2.25
2023-06-30,3.78,$3.49,1.08
2023-03-31,4.91,$3.29,1.49
2022-12-31,4.82,$1.09,4.42
2022-09-30,3.85,$-1.75,0.0
2022-06-30,2.78,$-3.94,0.0
2022-03-31,2.09,$-4.61,0.0
2021-12-31,1.92,$-4.88,0.0
2021-09-30,3.04,$-2.99,0.0
2021-06-30,3.46,$-1.55,0.0
2021-03-31,4.12,$-1.05,0.0
2020-12-31,3.32,$0.03,125.74
2020-09-30,3.16,$0.88,3.58
2020-06-30,3.04,$1.60,1.9
2020-03-31,3.03,$1.94,1.56
2019-12-31,4.53,$1.07,4.23
2019-09-30,6.0,$-0.28,0.0
2019-06-30,4.24,$-0.47,0.0
2019-03-31,4.64,$-0.85,0.0
2018-12-31,3.99,$-0.42,0.0
2018-09-30,3.68,$0.20,18.54
2018-06-30,4.28,$0.68,6.3
2018-03-31,3.92,$1.01,3.87
2017-12-31,12.88,$0.80,16.17
2017-09-30,7.68,$1.49,5.14
2017-06-30,6.76,$1.03,6.57
2017-03-31,9.1,$1.15,7.88
2016-12-31,10.4,$0.97,10.69
