Algoma Steel Group Price to Free Cash Flow Ratio Historical Data,Algoma Steel Group Price to Free Cash Flow Ratio Historical Data,Algoma Steel Group Price to Free Cash Flow Ratio Historical Data,Algoma Steel Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.31,,0.0
2024-09-30,10.23,$-1.81,0.0
2024-06-30,6.96,$-1.88,0.0
2024-03-31,8.49,$-1.09,0.0
2023-12-31,10.03,$-0.98,0.0
2023-09-30,6.8,$-1.33,0.0
2023-06-30,7.1,$-1.35,0.0
2023-03-31,8.08,$-0.80,0.0
2022-12-31,6.34,$1.55,4.1
2022-09-30,6.44,$4.16,1.55
2022-06-30,8.93,$8.81,1.01
2022-03-31,11.13,$7.85,1.42
2021-12-31,10.64,$5.09,2.09
