Yatsen Holding Price to Free Cash Flow Ratio Historical Data,Yatsen Holding Price to Free Cash Flow Ratio Historical Data,Yatsen Holding Price to Free Cash Flow Ratio Historical Data,Yatsen Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.4,,0.0
2024-09-30,3.41,$-0.19,0.0
2024-06-30,2.66,$-0.19,0.0
2024-03-31,2.11,$-0.19,0.0
2023-12-31,0.73,$-0.19,0.0
2023-09-30,1.0,$0.11,9.14
2023-06-30,1.01,$0.11,9.23
2023-03-31,1.48,$0.11,13.53
2022-12-31,1.46,$0.11,13.35
2022-09-30,1.09,$-1.44,0.0
2022-06-30,1.55,$-1.44,0.0
2022-03-31,0.69,$-1.44,0.0
2021-12-31,2.15,$-1.44,0.0
2021-09-30,3.81,$-2.35,0.0
