InterCure Price to Free Cash Flow Ratio Historical Data,InterCure Price to Free Cash Flow Ratio Historical Data,InterCure Price to Free Cash Flow Ratio Historical Data,InterCure Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.49,,0.0
2023-03-31,2.04,$-0.10,0.0
2022-12-31,3.3,$0.21,15.95
2022-09-30,4.5,$0.03,166.67
