Colony Bankcorp Price to Free Cash Flow Ratio Historical Data,Colony Bankcorp Price to Free Cash Flow Ratio Historical Data,Colony Bankcorp Price to Free Cash Flow Ratio Historical Data,Colony Bankcorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.36,,12.14
2024-12-31,16.14,$1.35,11.97
2024-09-30,15.42,$2.04,7.55
2024-06-30,12.07,$1.32,9.12
2024-03-31,11.22,$0.93,12.1
2023-12-31,12.85,$1.22,10.57
2023-09-30,9.55,$1.56,6.14
2023-06-30,8.91,$2.50,3.57
2023-03-31,9.54,$2.01,4.74
2022-12-31,11.77,$2.76,4.27
2022-09-30,11.99,$1.66,7.22
2022-06-30,13.78,$-0.06,0.0
2022-03-31,16.94,$1.33,12.74
2021-12-31,15.38,$2.83,5.44
2021-09-30,16.69,$4.10,4.07
2021-06-30,15.92,$0.93,17.1
2021-03-31,13.81,$0.21,66.55
2020-12-31,12.88,$-2.35,0.0
2020-09-30,9.38,$-3.12,0.0
2020-06-30,10.17,$0.11,94.0
2020-03-31,10.71,$-0.08,0.0
2019-12-31,14.04,$0.12,118.5
2019-09-30,13.0,$0.18,73.04
2019-06-30,14.29,$0.88,16.24
2019-03-31,14.36,$1.48,9.69
2018-12-31,12.26,$1.43,8.6
2018-09-30,14.9,$1.28,11.68
2018-06-30,14.11,$1.21,11.65
2018-03-31,14.15,$1.16,12.16
2017-12-31,12.11,$1.30,9.3
2017-09-30,11.38,$1.53,7.42
2017-06-30,11.32,$1.42,7.96
2017-03-31,11.42,$1.33,8.57
2016-12-31,10.87,$1.20,9.05
2016-09-30,8.14,$0.93,8.75
2016-06-30,7.83,$1.25,6.26
2016-03-31,7.57,$1.42,5.33
2015-12-31,7.85,$1.29,6.08
2015-09-30,7.33,$1.42,5.17
2015-06-30,7.05,$1.23,5.75
2015-03-31,6.67,$1.41,4.73
2014-12-31,6.49,$1.55,4.18
2014-09-30,5.52,$1.70,3.24
2014-06-30,5.19,$1.81,2.87
2014-03-31,5.05,$1.94,2.6
2013-12-31,5.02,$2.06,2.44
2013-09-30,4.82,$2.30,2.09
2013-06-30,5.61,$2.42,2.31
2013-03-31,4.49,$2.46,1.82
2012-12-31,2.96,$2.60,1.14
2012-09-30,3.03,$2.16,1.4
2012-06-30,3.89,$2.02,1.93
2012-03-31,3.09,$1.92,1.61
2011-12-31,1.84,$1.75,1.05
2011-09-30,2.17,$2.23,0.97
2011-06-30,2.36,$2.41,0.98
2011-03-31,3.42,$2.95,1.16
2010-12-31,3.32,$3.30,1.01
2010-09-30,3.7,$2.47,1.5
2010-06-30,5.76,$2.63,2.19
2010-03-31,4.81,$2.32,2.07
2009-12-31,3.8,$1.93,1.97
