Macerich Price to Free Cash Flow Ratio Historical Data,Macerich Price to Free Cash Flow Ratio Historical Data,Macerich Price to Free Cash Flow Ratio Historical Data,Macerich Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.28,,16.88
2024-12-31,19.92,$1.02,19.46
2024-09-30,18.08,$0.85,21.17
2024-06-30,15.13,$0.49,30.87
2024-03-31,16.7,$0.50,33.28
2023-12-31,14.82,$0.61,24.22
2023-09-30,10.3,$0.71,14.41
2023-06-30,10.49,$0.99,10.58
2023-03-31,9.69,$1.15,8.39
2022-12-31,10.16,$1.25,8.13
2022-09-30,7.06,$1.63,4.33
2022-06-30,7.64,$2.08,3.68
2022-03-31,13.55,$2.12,6.39
2021-12-31,14.83,$2.60,5.7
2021-09-30,14.25,$2.52,5.66
2021-06-30,15.41,$1.99,7.74
2021-03-31,9.77,$1.16,8.39
2020-12-31,8.8,$0.50,17.53
2020-09-30,5.48,$0.29,18.6
2020-06-30,7.11,$0.11,64.19
2020-03-31,4.39,$0.93,4.72
2019-12-31,20.33,$1.22,16.63
2019-09-30,23.24,$1.25,18.64
2019-06-30,24.02,$1.48,16.23
2019-03-31,30.53,$1.51,20.19
2018-12-31,29.97,$1.37,21.92
2018-09-30,37.72,$1.83,20.61
2018-06-30,38.28,$1.65,23.15
2018-03-31,37.26,$1.77,21.0
2017-12-31,43.15,$3.10,13.93
2017-09-30,35.69,$2.62,13.61
2017-06-30,37.22,$2.67,13.95
2017-03-31,40.81,$3.42,11.95
2016-12-31,44.42,$6.10,7.29
2016-09-30,50.19,$10.22,4.91
2016-06-30,52.57,$10.08,5.21
2016-03-31,48.35,$9.33,5.18
2015-12-31,48.8,$5.30,9.21
2015-09-30,43.13,$2.94,14.69
2015-06-30,41.55,$3.05,13.61
2015-03-31,46.6,$2.81,16.57
2014-12-31,45.74,$3.16,14.45
2014-09-30,34.67,$2.13,16.27
2014-06-30,35.92,$2.20,16.34
2014-03-31,33.22,$4.36,7.62
2013-12-31,31.07,$0.80,38.92
2013-09-30,29.46,$-7.34,0.0
2013-06-30,31.5,$-7.41,0.0
2013-03-31,32.99,$-8.78,0.0
2012-12-31,29.59,$-5.68,0.0
2012-09-30,28.76,$1.75,16.44
2012-06-30,29.39,$1.09,26.88
2012-03-31,28.48,$0.14,198.49
2011-12-31,24.71,$0.06,449.31
2011-09-30,20.6,$-0.01,0.0
2011-06-30,25.59,$0.10,266.32
2011-03-31,23.46,$0.22,104.54
2010-12-31,22.21,$0.12,182.51
2010-09-30,19.92,$0.63,31.41
2010-06-30,17.1,$4.55,3.76
2010-03-31,17.35,$4.53,3.83
2009-12-31,15.96,$4.20,3.8
