Gulf Island Fabrication Price to Free Cash Flow Ratio Historical Data,Gulf Island Fabrication Price to Free Cash Flow Ratio Historical Data,Gulf Island Fabrication Price to Free Cash Flow Ratio Historical Data,Gulf Island Fabrication Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.72,,5.0
2024-12-31,6.81,$1.34,5.07
2024-09-30,5.64,$1.62,3.48
2024-06-30,6.07,$1.46,4.17
2024-03-31,7.35,$1.04,7.09
2023-12-31,4.33,$0.30,14.68
2023-09-30,3.27,$0.40,8.2
2023-06-30,3.25,$0.08,40.52
2023-03-31,3.7,$0.18,20.86
2022-12-31,5.13,$-0.63,0.0
2022-09-30,4.17,$-2.02,0.0
2022-06-30,3.35,$-1.80,0.0
2022-03-31,3.92,$-2.15,0.0
2021-12-31,4.01,$-1.41,0.0
2021-09-30,3.97,$-1.32,0.0
2021-06-30,4.52,$-1.67,0.0
2021-03-31,3.86,$-1.78,0.0
2020-12-31,3.06,$-1.84,0.0
2020-09-30,3.13,$-1.14,0.0
2020-06-30,3.07,$-1.08,0.0
2020-03-31,3.0,$-0.09,0.0
2019-12-31,5.07,$-0.57,0.0
2019-09-30,5.35,$1.18,4.54
2019-06-30,7.1,$1.97,3.6
2019-03-31,9.17,$4.46,2.06
2018-12-31,7.22,$4.08,1.77
2018-09-30,9.95,$1.76,5.67
2018-06-30,9.0,$0.96,9.35
2018-03-31,7.1,$-2.71,0.0
2017-12-31,13.43,$-2.83,0.0
2017-09-30,12.69,$-2.53,0.0
2017-06-30,11.58,$-1.85,0.0
2017-03-31,11.52,$-0.29,0.0
2016-12-31,11.86,$0.97,12.19
2016-09-30,9.16,$0.74,12.35
2016-06-30,6.9,$-0.11,0.0
2016-03-31,7.79,$-0.53,0.0
2015-12-31,10.37,$0.32,32.19
2015-09-30,10.35,$1.68,6.15
2015-06-30,10.89,$1.92,5.68
2015-03-31,14.38,$2.26,6.37
2014-12-31,18.64,$0.37,50.23
2014-09-30,16.46,$0.72,22.73
2014-06-30,20.48,$0.50,41.27
2014-03-31,20.46,$1.83,11.18
2013-12-31,21.88,$1.19,18.41
2013-09-30,23.01,$0.07,338.88
2013-06-30,17.91,$0.32,55.64
2013-03-31,19.59,$-2.42,0.0
2012-12-31,22.26,$-1.73,0.0
2012-09-30,25.69,$-2.07,0.0
2012-06-30,25.91,$0.20,128.78
2012-03-31,26.78,$-1.09,0.0
2011-12-31,26.64,$-2.06,0.0
2011-09-30,18.82,$1.96,9.62
2011-06-30,29.3,$0.22,134.61
2011-03-31,29.14,$3.49,8.35
2010-12-31,25.48,$5.56,4.58
2010-09-30,16.45,$1.95,8.43
2010-06-30,14.02,$1.20,11.65
2010-03-31,19.64,$-0.56,0.0
2009-12-31,18.98,$-0.23,0.0
