MEDIROM Healthcare Technologies Price to Free Cash Flow Ratio Historical Data,MEDIROM Healthcare Technologies Price to Free Cash Flow Ratio Historical Data,MEDIROM Healthcare Technologies Price to Free Cash Flow Ratio Historical Data,MEDIROM Healthcare Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.49,,inf
2023-12-31,5.72,0.0,0.0
2023-06-30,5.43,0.0,0.0
2022-12-31,4.51,0.0,0.0
