Landstar System Price to Free Cash Flow Ratio Historical Data,Landstar System Price to Free Cash Flow Ratio Historical Data,Landstar System Price to Free Cash Flow Ratio Historical Data,Landstar System Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,146.63,,19.64
2024-12-31,171.86,$7.47,23.02
2024-09-30,188.49,$8.13,23.2
2024-06-30,183.75,$8.98,20.46
2024-03-31,191.65,$9.16,20.93
2023-12-31,190.2,$10.47,18.16
2023-09-30,173.45,$13.13,13.21
2023-06-30,188.43,$16.00,11.78
2023-03-31,175.14,$17.71,9.89
2022-12-31,156.96,$16.43,9.55
2022-09-30,138.85,$12.96,10.71
2022-06-30,139.59,$8.87,15.73
2022-03-31,144.56,$7.44,19.43
2021-12-31,169.3,$6.71,25.24
2021-09-30,149.04,$5.77,25.84
2021-06-30,149.0,$3.42,43.61
2021-03-31,155.45,$4.16,37.36
2020-12-31,124.91,$4.87,25.67
2020-09-30,116.21,$5.40,21.53
2020-06-30,103.83,$7.72,13.46
2020-03-31,88.46,$6.82,12.97
2019-12-31,103.09,$7.35,14.03
2019-09-30,101.76,$8.50,11.98
2019-06-30,97.45,$8.83,11.03
2019-03-31,98.71,$8.36,11.81
2018-12-31,86.2,$7.07,12.19
2018-09-30,109.75,$4.88,22.49
2018-06-30,98.09,$3.92,25.03
2018-03-31,98.36,$3.31,29.72
2017-12-31,91.98,$3.03,30.34
2017-09-30,87.96,$3.39,25.95
2017-06-30,75.46,$3.63,20.76
2017-03-31,75.43,$3.88,19.46
2016-12-31,75.04,$4.21,17.82
2016-09-30,59.82,$5.36,11.16
2016-06-30,60.25,$5.42,11.11
2016-03-31,56.63,$5.53,10.24
2015-12-31,51.33,$4.86,10.56
2015-09-30,55.48,$3.98,13.93
2015-06-30,58.39,$3.68,15.85
2015-03-31,57.83,$2.96,19.55
2014-12-31,62.3,$2.19,28.48
2014-09-30,61.95,$2.11,29.38
2014-06-30,54.86,$1.88,29.11
2014-03-31,50.71,$2.53,20.03
2013-12-31,49.15,$3.38,14.56
2013-09-30,47.6,$3.17,15.02
2013-06-30,43.79,$3.24,13.51
2013-03-31,48.54,$3.37,14.41
2012-12-31,44.6,$2.66,16.77
2012-09-30,39.74,$2.97,13.4
2012-06-30,43.42,$3.21,13.55
2012-03-31,48.41,$2.53,19.16
2011-12-31,40.15,$2.42,16.6
2011-09-30,33.1,$2.55,12.99
2011-06-30,38.84,$2.08,18.67
2011-03-31,38.13,$1.95,19.56
2010-12-31,34.14,$1.67,20.41
2010-09-30,32.16,$1.21,26.68
2010-06-30,32.43,$0.80,40.78
2010-03-31,34.88,$1.27,27.36
2009-12-31,32.17,$2.79,11.53
