Y-mAbs Therapeutics Price to Free Cash Flow Ratio Historical Data,Y-mAbs Therapeutics Price to Free Cash Flow Ratio Historical Data,Y-mAbs Therapeutics Price to Free Cash Flow Ratio Historical Data,Y-mAbs Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.92,,0.0
2024-12-31,7.83,$-0.35,0.0
2024-09-30,13.15,$-0.49,0.0
2024-06-30,12.08,$-0.29,0.0
2024-03-31,16.26,$-0.40,0.0
2023-12-31,6.82,$-0.62,0.0
2023-09-30,5.45,$-0.64,0.0
2023-06-30,6.79,$-1.05,0.0
2023-03-31,5.01,$-1.47,0.0
2022-12-31,4.88,$-1.74,0.0
2022-09-30,14.42,$-2.34,0.0
2022-06-30,15.13,$-2.32,0.0
2022-03-31,11.88,$-2.23,0.0
2021-12-31,16.21,$-2.39,0.0
2021-09-30,28.54,$-2.03,0.0
2021-06-30,33.8,$-2.21,0.0
2021-03-31,30.24,$-2.46,0.0
2020-12-31,49.51,$-2.28,0.0
2020-09-30,38.39,$-2.53,0.0
2020-06-30,43.2,$-2.57,0.0
2020-03-31,26.1,$-2.29,0.0
2019-12-31,31.25,$-2.14,0.0
2019-09-30,26.06,$-1.87,0.0
2019-06-30,22.87,$-2.25,0.0
