Midland States Bancorp Price to Free Cash Flow Ratio Historical Data,Midland States Bancorp Price to Free Cash Flow Ratio Historical Data,Midland States Bancorp Price to Free Cash Flow Ratio Historical Data,Midland States Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.03,,2.48
2024-09-30,22.12,$7.27,3.04
2024-06-30,22.07,$6.05,3.65
2024-03-31,24.17,$7.22,3.35
2023-12-31,26.18,$6.60,3.97
2023-09-30,19.27,$4.51,4.27
2023-06-30,18.43,$6.54,2.82
2023-03-31,19.52,$9.74,2.0
2022-12-31,23.98,$10.88,2.2
2022-09-30,21.02,$10.58,1.99
2022-06-30,21.22,$12.08,1.76
2022-03-31,25.18,$9.48,2.66
2021-12-31,21.42,$14.74,1.45
2021-09-30,21.13,$16.94,1.25
2021-06-30,22.21,$21.58,1.03
2021-03-31,23.22,$26.07,0.89
2020-12-31,14.76,$21.27,0.69
2020-09-30,10.45,$21.45,0.49
2020-06-30,11.95,$28.91,0.41
2020-03-31,13.7,$22.77,0.6
2019-12-31,22.47,$21.77,1.03
2019-09-30,20.04,$19.27,1.04
2019-06-30,20.36,$4.53,4.5
2019-03-31,18.17,$3.29,5.52
2018-12-31,16.7,$3.82,4.38
2018-09-30,23.8,$3.31,7.19
2018-06-30,25.24,$2.29,11.01
2018-03-31,23.09,$2.62,8.8
2017-12-31,23.6,$3.75,6.29
2017-09-30,22.87,$2.61,8.75
2017-06-30,24.03,$6.32,3.8
2017-03-31,24.52,$4.36,5.63
