Xponential Fitness Price to Free Cash Flow Ratio Historical Data,Xponential Fitness Price to Free Cash Flow Ratio Historical Data,Xponential Fitness Price to Free Cash Flow Ratio Historical Data,Xponential Fitness Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.72,,38.18
2024-12-31,13.45,$0.23,58.89
2024-09-30,12.4,$0.04,305.42
2024-06-30,15.6,$0.10,149.43
2024-03-31,16.54,$0.41,40.48
2023-12-31,12.89,$0.64,20.19
2023-09-30,15.5,$1.29,12.05
2023-06-30,17.25,$1.99,8.67
2023-03-31,30.39,$1.96,15.54
2022-12-31,22.93,$1.71,13.43
2022-09-30,18.26,$1.65,11.09
2022-06-30,12.56,$0.85,14.81
