RBB Bancorp Price to Free Cash Flow Ratio Historical Data,RBB Bancorp Price to Free Cash Flow Ratio Historical Data,RBB Bancorp Price to Free Cash Flow Ratio Historical Data,RBB Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.07,,9.49
2024-09-30,22.86,$1.80,12.71
2024-06-30,18.55,$1.75,10.61
2024-03-31,17.6,$2.07,8.52
2023-12-31,18.45,$2.67,6.91
2023-09-30,12.21,$4.24,2.88
2023-06-30,11.28,$4.27,2.64
2023-03-31,14.46,$4.02,3.6
2022-12-31,19.3,$4.80,4.02
2022-09-30,19.12,$5.28,3.62
2022-06-30,18.9,$5.81,3.25
2022-03-31,21.34,$6.24,3.42
2021-12-31,23.67,$10.09,2.35
2021-09-30,22.67,$10.54,2.15
2021-06-30,21.66,$9.12,2.38
2021-03-31,18.02,$7.68,2.35
2020-12-31,13.57,$6.04,2.25
2020-09-30,9.94,$14.28,0.7
2020-06-30,11.91,$14.39,0.83
2020-03-31,11.92,$21.69,0.55
2019-12-31,18.28,$23.30,0.78
2019-09-30,16.92,$16.56,1.02
2019-06-30,16.53,$11.32,1.46
2019-03-31,15.99,$1.88,8.52
2018-12-31,14.87,$-4.85,0.0
2018-09-30,20.73,$-5.32,0.0
2018-06-30,27.0,$-1.89,0.0
