Pedevco Price to Free Cash Flow Ratio Historical Data,Pedevco Price to Free Cash Flow Ratio Historical Data,Pedevco Price to Free Cash Flow Ratio Historical Data,Pedevco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.74,,0.0
2024-09-30,0.94,$-0.09,0.0
2024-06-30,0.9,$-0.07,0.0
2024-03-31,0.8,$-0.01,0.0
2023-12-31,0.77,$-0.13,0.0
2023-09-30,1.01,$-0.16,0.0
2023-06-30,0.92,$-0.12,0.0
2023-03-31,1.06,$-0.08,0.0
2022-12-31,1.1,$0.04,25.23
2022-09-30,1.01,$0.01,80.16
2022-06-30,1.15,$-0.03,0.0
2022-03-31,1.35,$-0.04,0.0
2021-12-31,1.06,$0.04,26.43
2021-09-30,1.48,$0.04,36.19
2021-06-30,1.59,$-0.17,0.0
2021-03-31,1.46,$-0.04,0.0
2020-12-31,1.51,$-0.20,0.0
2020-09-30,1.49,$-0.49,0.0
2020-06-30,0.81,$-0.29,0.0
2020-03-31,0.88,$-0.53,0.0
2019-12-31,1.66,$-0.74,0.0
2019-09-30,1.48,$0.51,2.89
2019-06-30,2.08,$-0.86,0.0
2019-03-31,2.78,$-0.78,0.0
2018-12-31,0.76,$-0.42,0.0
2018-09-30,2.21,$-1.43,0.0
2018-06-30,2.27,$-0.06,0.0
2018-03-31,0.3,$-0.03,0.0
2017-12-31,0.32,$-0.04,0.0
2017-09-30,0.59,$-0.00,0.0
2017-06-30,0.64,$0.14,4.67
2017-03-31,0.92,$-1.17,0.0
2016-12-31,1.12,$-1.24,0.0
2016-09-30,1.8,$-1.41,0.0
2016-06-30,2.78,$-1.67,0.0
2016-03-31,1.85,$-0.83,0.0
2015-12-31,2.9,$-1.89,0.0
2015-09-30,2.5,$-2.67,0.0
2015-06-30,4.5,$-0.81,0.0
2015-03-31,8.18,$-1.40,0.0
2014-12-31,4.5,$-8.62,0.0
2014-09-30,16.4,$-10.87,0.0
2014-06-30,20.3,$-9.65,0.0
2014-03-31,20.6,$-11.46,0.0
2013-12-31,21.5,$-5.09,0.0
2013-09-30,42.4,$-0.16,0.0
2013-06-30,40.0,$2.70,14.84
2013-03-31,51.0,$-2.00,0.0
2012-12-31,61.5,$105.19,0.58
2012-09-30,60.0,$93.56,0.64
2012-03-31,33.6,$-2.23,0.0
2011-12-31,33.6,$0.00,0.0
2011-09-30,168.0,$-131.00,0.0
2011-06-30,235.2,$-83.87,0.0
2011-03-31,571.2,$2.34,244.49
2010-12-31,235.2,$-0.00,0.0
2010-09-30,201.6,$31.36,6.43
2010-06-30,201.6,$25.75,7.83
2010-03-31,302.4,$15.68,19.28
2009-12-31,201.6,$-0.00,0.0
