Aflac Price to Free Cash Flow Ratio Historical Data,Aflac Price to Free Cash Flow Ratio Historical Data,Aflac Price to Free Cash Flow Ratio Historical Data,Aflac Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,108.7,,22.69
2024-12-31,103.44,$4.79,21.59
2024-09-30,111.3,$5.17,21.53
2024-06-30,88.49,$5.07,17.47
2024-03-31,84.59,$5.35,15.82
2023-12-31,80.76,$5.33,15.16
2023-09-30,74.75,$5.97,12.51
2023-06-30,67.59,$5.54,12.2
2023-03-31,62.08,$5.60,11.08
2022-12-31,68.8,$6.08,11.31
2022-09-30,53.45,$5.75,9.3
2022-06-30,52.28,$6.80,7.69
2022-03-31,60.42,$7.42,8.14
2021-12-31,54.45,$7.46,7.3
2021-09-30,48.33,$8.10,5.97
2021-06-30,49.47,$8.12,6.09
2021-03-31,46.9,$8.35,5.62
2020-12-31,40.47,$8.32,4.86
2020-09-30,32.86,$8.02,4.1
2020-06-30,32.33,$7.77,4.16
2020-03-31,30.47,$7.21,4.23
2019-12-31,46.82,$7.31,6.41
2019-09-30,46.08,$7.46,6.18
2019-06-30,48.02,$7.30,6.58
2019-03-31,43.58,$8.23,5.3
2018-12-31,39.49,$7.76,5.09
2018-09-30,40.56,$7.93,5.11
2018-06-30,36.87,$7.33,5.03
2018-03-31,37.29,$7.09,5.26
2017-12-31,37.18,$7.68,4.84
2017-09-30,34.29,$8.00,4.28
2017-06-30,32.56,$7.75,4.2
2017-03-31,30.18,$7.83,3.86
2016-12-31,28.83,$7.23,3.99
2016-09-30,29.59,$7.30,4.05
2016-06-30,29.54,$7.69,3.84
2016-03-31,25.7,$7.74,3.32
2015-12-31,24.2,$7.82,3.09
2015-09-30,23.33,$7.71,3.03
2015-06-30,24.82,$7.35,3.38
2015-03-31,25.39,$7.11,3.57
2014-12-31,24.08,$7.21,3.34
2014-09-30,22.81,$8.66,2.63
2014-06-30,24.23,$8.63,2.81
2014-03-31,24.39,$8.96,2.72
2013-12-31,25.69,$11.28,2.28
2013-09-30,23.71,$11.40,2.08
2013-06-30,22.1,$14.29,1.55
2013-03-31,19.66,$16.22,1.21
2012-12-31,19.93,$15.93,1.25
2012-09-30,17.84,$15.74,1.13
2012-06-30,15.75,$14.62,1.08
2012-03-31,16.88,$13.05,1.29
2011-12-31,15.77,$11.55,1.37
2011-09-30,12.65,$10.25,1.23
2011-06-30,16.76,$8.85,1.89
2011-03-31,18.84,$8.33,2.26
2010-12-31,20.04,$7.39,2.71
2010-09-30,18.27,$7.02,2.6
2010-06-30,14.98,$6.70,2.24
2010-03-31,18.95,$6.15,3.08
2009-12-31,16.05,$6.57,2.44
