Solid Biosciences Price to Free Cash Flow Ratio Historical Data,Solid Biosciences Price to Free Cash Flow Ratio Historical Data,Solid Biosciences Price to Free Cash Flow Ratio Historical Data,Solid Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.7,,0.0
2024-12-31,4.0,$-2.47,0.0
2024-09-30,6.97,$-2.79,0.0
2024-06-30,5.67,$-3.09,0.0
2024-03-31,13.32,$-4.02,0.0
2023-12-31,6.14,$-4.81,0.0
2023-09-30,2.52,$-6.89,0.0
2023-06-30,5.24,$-8.77,0.0
2023-03-31,4.74,$-9.60,0.0
2022-12-31,5.38,$-11.79,0.0
2022-09-30,7.0,$-12.06,0.0
2022-06-30,9.23,$-11.82,0.0
2022-03-31,18.0,$-11.16,0.0
2021-12-31,26.25,$-11.11,0.0
2021-09-30,35.85,$-6.05,0.0
2021-06-30,54.9,$-8.38,0.0
2021-03-31,82.95,$-10.86,0.0
2020-12-31,113.7,$-16.61,0.0
2020-09-30,30.45,$-28.43,0.0
2020-06-30,43.95,$-25.75,0.0
2020-03-31,35.85,$-33.46,0.0
2019-12-31,66.75,$-36.13,0.0
2019-09-30,155.1,$-37.15,0.0
2019-06-30,86.25,$-42.53,0.0
2019-03-31,138.0,$-37.88,0.0
2018-12-31,402.0,$-35.14,0.0
