ProQR Therapeutics Price to Free Cash Flow Ratio Historical Data,ProQR Therapeutics Price to Free Cash Flow Ratio Historical Data,ProQR Therapeutics Price to Free Cash Flow Ratio Historical Data,ProQR Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.63,,0.0
2024-12-31,2.65,$-0.48,0.0
2024-09-30,1.82,$-0.46,0.0
2024-06-30,1.66,$-0.48,0.0
2024-03-31,2.29,$-0.53,0.0
2023-12-31,1.98,$0.27,7.32
2023-09-30,1.3,$0.06,22.11
2023-06-30,1.62,$-0.03,0.0
2023-03-31,2.13,$-0.10,0.0
2022-12-31,3.7,$-1.02,0.0
2022-09-30,0.74,$-0.69,0.0
2022-06-30,0.78,$-0.62,0.0
2022-03-31,0.91,$-0.53,0.0
2021-12-31,8.01,$-0.49,0.0
2021-09-30,8.37,$-0.77,0.0
2021-06-30,6.74,$-0.92,0.0
2021-03-31,6.61,$-1.04,0.0
2020-12-31,4.2,$-1.09,0.0
2020-09-30,4.79,$-1.13,0.0
2020-06-30,6.08,$-1.11,0.0
2020-03-31,5.49,$-1.18,0.0
2019-12-31,9.91,$-1.22,0.0
2019-09-30,5.76,$-1.24,0.0
2019-06-30,9.1,$-1.11,0.0
2019-03-31,13.87,$-0.99,0.0
2018-12-31,15.78,$-1.00,0.0
2018-09-30,19.35,$-1.02,0.0
2018-06-30,7.3,$-1.28,0.0
2018-03-31,3.08,$-1.54,0.0
2017-12-31,3.23,$-1.56,0.0
2017-09-30,4.85,$-1.56,0.0
2017-06-30,5.2,$-1.72,0.0
2017-03-31,5.0,$-1.75,0.0
2016-12-31,4.9,$-1.74,0.0
2016-09-30,6.67,$-1.73,0.0
2016-06-30,4.84,$-1.54,0.0
2016-03-31,4.88,$-1.34,0.0
2015-12-31,8.68,$-1.21,0.0
2015-09-30,14.57,$-2.58,0.0
2015-06-30,16.67,$-3.94,0.0
