Senti Biosciences Price to Free Cash Flow Ratio Historical Data,Senti Biosciences Price to Free Cash Flow Ratio Historical Data,Senti Biosciences Price to Free Cash Flow Ratio Historical Data,Senti Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.51,,0.0
2024-12-31,3.51,$-9.00,0.0
2024-09-30,2.26,$-7.68,0.0
2024-06-30,0.28,$-9.81,0.0
2024-03-31,0.38,$-11.88,0.0
2023-12-31,0.66,$-14.50,0.0
2023-09-30,0.41,$-28.59,0.0
2023-06-30,0.63,$-12.70,0.0
2023-03-31,1.18,$20.61,0.06
2022-12-31,1.41,$-29.21,0.0
2022-09-30,2.17,$-68.72,0.0
2022-06-30,1.97,$-113.76,0.0
2022-03-31,9.87,$-192.97,0.0
