NNN REIT Price to Free Cash Flow Ratio Historical Data,NNN REIT Price to Free Cash Flow Ratio Historical Data,NNN REIT Price to Free Cash Flow Ratio Historical Data,NNN REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,41.62,,36.05
2024-12-31,40.85,$1.15,35.39
2024-09-30,47.85,$0.81,59.34
2024-06-30,41.5,$0.51,81.63
2024-03-31,41.07,$-0.07,0.0
2023-12-31,40.85,$-0.37,0.0
2023-09-30,32.96,$-0.47,0.0
2023-06-30,39.39,$-0.75,0.0
2023-03-31,40.13,$-0.76,0.0
2022-12-31,41.11,$-1.12,0.0
2022-09-30,35.35,$0.05,704.14
2022-06-30,37.69,$-0.17,0.0
2022-03-31,38.94,$0.23,167.92
2021-12-31,41.15,$0.79,52.07
2021-09-30,36.55,$0.45,81.39
2021-06-30,39.25,$1.59,24.72
2021-03-31,36.49,$1.63,22.33
2020-12-31,33.45,$1.79,18.73
2020-09-30,27.76,$0.33,83.0
2020-06-30,28.13,$-0.12,0.0
2020-03-31,25.13,$-1.22,0.0
2019-12-31,41.47,$-1.49,0.0
2019-09-30,43.24,$-1.42,0.0
2019-06-30,40.25,$-1.31,0.0
2019-03-31,41.65,$-0.75,0.0
2018-12-31,36.13,$-0.87,0.0
2018-09-30,33.04,$-0.33,0.0
2018-06-30,32.04,$-0.53,0.0
2018-03-31,28.27,$-1.58,0.0
2017-12-31,30.68,$-1.36,0.0
2017-09-30,29.29,$-1.47,0.0
2017-06-30,27.17,$-1.88,0.0
2017-03-31,30.0,$-2.33,0.0
2016-12-31,30.08,$-2.53,0.0
2016-09-30,34.25,$-2.28,0.0
2016-06-30,34.54,$-3.13,0.0
2016-03-31,30.55,$-1.83,0.0
2015-12-31,26.21,$-2.26,0.0
2015-09-30,23.47,$-1.61,0.0
2015-06-30,22.39,$-2.52,0.0
2015-03-31,25.93,$-2.24,0.0
2014-12-31,24.68,$-1.98,0.0
2014-09-30,21.43,$-1.99,0.0
2014-06-30,22.79,$0.20,116.1
2014-03-31,20.79,$-2.69,0.0
2013-12-31,18.14,$-2.52,0.0
2013-09-30,18.82,$-4.05,0.0
2013-06-30,20.12,$-4.67,0.0
2013-03-31,20.94,$-1.97,0.0
2012-12-31,17.84,$-3.44,0.0
2012-09-30,17.23,$-5.04,0.0
2012-06-30,15.77,$-7.65,0.0
2012-03-31,14.94,$-7.58,0.0
2011-12-31,14.29,$-6.40,0.0
2011-09-30,14.36,$-4.42,0.0
2011-06-30,12.9,$-2.19,0.0
2011-03-31,13.55,$-0.99,0.0
2010-12-31,13.54,$-0.39,0.0
2010-09-30,12.65,$1.02,12.46
2010-06-30,10.63,$2.13,4.99
2010-03-31,11.14,$1.51,7.4
2009-12-31,10.17,$1.50,6.79
