AgriFORCE Growing Systems Price to Free Cash Flow Ratio Historical Data,AgriFORCE Growing Systems Price to Free Cash Flow Ratio Historical Data,AgriFORCE Growing Systems Price to Free Cash Flow Ratio Historical Data,AgriFORCE Growing Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.46,,0.02
2024-09-30,0.05,$62.84,0.0
2024-06-30,0.09,$303.55,0.0
2024-03-31,0.18,$-12.94,0.0
2023-12-31,0.47,$-560.53,0.0
2023-09-30,0.11,"$-1,761.20",0.0
2023-06-30,0.23,"$-2,679.47",0.0
2023-03-31,0.69,"$-2,999.55",0.0
2022-12-31,1.13,"$-3,384.72",0.0
2022-09-30,1.5,"$-3,581.70",0.0
2022-06-30,2.31,"$-4,219.59",0.0
