Vornado Realty Trust Price to Free Cash Flow Ratio Historical Data,Vornado Realty Trust Price to Free Cash Flow Ratio Historical Data,Vornado Realty Trust Price to Free Cash Flow Ratio Historical Data,Vornado Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.63,,105.34
2024-12-31,42.04,$0.37,114.64
2024-09-30,38.76,$0.02,2240.59
2024-06-30,25.86,$-0.66,0.0
2024-03-31,28.3,$-0.58,0.0
2023-12-31,27.79,$-0.61,0.0
2023-09-30,22.1,$-0.68,0.0
2023-06-30,17.68,$-0.29,0.0
2023-03-31,14.98,$-0.68,0.0
2022-12-31,19.96,$-0.52,0.0
2022-09-30,21.72,$-0.06,0.0
2022-06-30,26.3,$-0.75,0.0
2022-03-31,41.1,$-0.57,0.0
2021-12-31,37.47,$0.14,272.68
2021-09-30,37.16,$-0.23,0.0
2021-06-30,40.77,$-0.44,0.0
2021-03-31,39.2,$-0.52,0.0
2020-12-31,31.83,$-1.74,0.0
2020-09-30,28.24,$-1.83,0.0
2020-06-30,31.54,$-1.26,0.0
2020-03-31,29.4,$-1.32,0.0
2019-12-31,53.46,$-1.15,0.0
2019-09-30,49.22,$-0.74,0.0
2019-06-30,49.03,$0.47,104.11
2019-03-31,51.59,$-0.58,0.0
2018-12-31,46.98,$0.78,59.97
2018-09-30,54.77,$0.54,100.95
2018-06-30,54.98,$1.00,55.23
2018-03-31,49.61,$1.16,42.79
2017-12-31,57.13,$1.22,46.9
2017-09-30,55.72,$1.56,35.83
2017-06-30,54.77,$0.61,90.28
2017-03-31,58.08,$0.36,160.13
2016-12-31,60.03,$0.01,0.0
2016-09-30,57.79,$-0.62,0.0
2016-06-30,56.83,$-0.42,0.0
2016-03-31,53.25,$-0.47,0.0
2015-12-31,55.96,$-0.55,0.0
2015-09-30,50.29,$-0.42,0.0
2015-06-30,52.45,$0.16,321.22
2015-03-31,61.51,$1.05,58.63
2014-12-31,58.3,$1.65,35.27
2014-09-30,49.18,$0.68,72.37
2014-06-30,52.15,$1.02,50.94
2014-03-31,47.82,$0.82,58.48
2013-12-31,42.74,$1.66,25.79
2013-09-30,40.22,$3.56,11.3
2013-06-30,39.39,$3.13,12.57
2013-03-31,39.53,$2.93,13.47
2012-12-31,37.61,$2.48,15.17
2012-09-30,37.46,$1.64,22.84
2012-06-30,38.57,$2.29,16.87
2012-03-31,38.45,$2.84,13.54
2011-12-31,34.88,$2.39,14.62
2011-09-30,33.65,$2.50,13.47
2011-06-30,41.73,$1.15,36.15
2011-03-31,38.98,$2.16,18.07
2010-12-31,36.91,$2.55,14.48
2010-09-30,37.68,$2.17,17.36
2010-06-30,31.96,$1.71,18.67
2010-03-31,32.96,$0.93,35.35
2009-12-31,30.23,$-0.28,0.0
