United Rentals Price to Free Cash Flow Ratio Historical Data,United Rentals Price to Free Cash Flow Ratio Historical Data,United Rentals Price to Free Cash Flow Ratio Historical Data,United Rentals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,630.69,,20.92
2024-12-31,704.44,$30.15,23.36
2024-09-30,808.2,$34.22,23.62
2024-06-30,644.01,$37.01,17.4
2024-03-31,716.35,$38.98,18.38
2023-12-31,568.18,$33.01,17.21
2023-09-30,439.03,$25.00,17.56
2023-06-30,438.47,$22.74,19.28
2023-03-31,387.94,$23.35,16.61
2022-12-31,347.27,$24.40,14.23
2022-09-30,263.93,$19.38,13.62
2022-06-30,237.34,$17.93,13.23
2022-03-31,347.07,$18.34,18.92
2021-12-31,324.67,$20.45,15.88
2021-09-30,342.89,$22.67,15.12
2021-06-30,311.7,$29.19,10.68
2021-03-31,321.76,$34.71,9.27
2020-12-31,226.59,$32.91,6.89
2020-09-30,170.5,$33.22,5.13
2020-06-30,145.62,$29.56,4.93
2020-03-31,100.54,$20.83,4.83
2019-12-31,162.95,$19.84,8.21
2019-09-30,121.78,$22.57,5.4
2019-06-30,129.59,$16.56,7.83
2019-03-31,111.63,$16.02,6.97
2018-12-31,100.18,$14.95,6.7
2018-09-30,159.85,$9.90,16.15
2018-06-30,144.24,$11.44,12.61
2018-03-31,168.77,$10.66,15.84
2017-12-31,167.97,$10.36,16.22
2017-09-30,135.56,$10.18,13.32
2017-06-30,110.13,$11.41,9.65
2017-03-31,122.18,$11.80,10.36
2016-12-31,103.16,$12.67,8.14
2016-09-30,76.69,$13.92,5.51
2016-06-30,65.56,$13.42,4.89
2016-03-31,60.76,$11.54,5.27
2015-12-31,70.88,$9.48,7.47
2015-09-30,58.67,$7.05,8.33
2015-06-30,85.61,$7.45,11.49
2015-03-31,89.07,$7.24,12.31
2014-12-31,99.67,$5.31,18.78
2014-09-30,108.55,$7.40,14.68
2014-06-30,102.33,$5.15,19.85
2014-03-31,92.76,$4.02,23.1
2013-12-31,76.16,$3.60,21.14
2013-09-30,56.95,$0.76,74.7
2013-06-30,48.77,$3.07,15.87
2013-03-31,53.71,$1.07,50.28
2012-12-31,44.48,$-2.30,0.0
2012-09-30,31.96,$-2.51,0.0
2012-06-30,33.26,$-3.69,0.0
2012-03-31,41.91,$-2.00,0.0
2011-12-31,28.87,$0.31,92.07
2011-09-30,16.45,$0.62,26.49
2011-06-30,24.82,$1.54,16.07
2011-03-31,32.52,$3.28,9.92
2010-12-31,22.23,$3.79,5.87
2010-09-30,14.5,$2.93,4.94
2010-06-30,9.11,$4.41,2.07
2010-03-31,9.17,$5.63,1.63
2009-12-31,9.59,$6.14,1.56
