Radian Group Price to Free Cash Flow Ratio Historical Data,Radian Group Price to Free Cash Flow Ratio Historical Data,Radian Group Price to Free Cash Flow Ratio Historical Data,Radian Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.99,,0.0
2024-12-31,31.72,$-4.32,0.0
2024-09-30,34.45,$-0.95,0.0
2024-06-30,30.68,$1.06,28.91
2024-03-31,33.02,$2.83,11.68
2023-12-31,27.91,$3.20,8.71
2023-09-30,24.33,$2.09,11.62
2023-06-30,24.29,$2.32,10.47
2023-03-31,21.05,$2.24,9.41
2022-12-31,17.98,$2.17,8.28
2022-09-30,18.0,$2.40,7.49
2022-06-30,18.18,$2.44,7.46
2022-03-31,20.35,$2.72,7.49
2021-12-31,19.19,$2.86,6.71
2021-09-30,20.5,$2.87,7.15
2021-06-30,19.96,$3.13,6.38
2021-03-31,20.73,$3.29,6.31
2020-12-31,17.95,$3.26,5.5
2020-09-30,12.86,$3.33,3.86
2020-06-30,13.54,$3.18,4.25
2020-03-31,11.21,$2.95,3.8
2019-12-31,21.67,$3.17,6.84
2019-09-30,19.67,$3.15,6.25
2019-06-30,19.68,$3.17,6.21
2019-03-31,17.86,$3.43,5.2
2018-12-31,14.09,$2.98,4.72
2018-09-30,17.79,$2.79,6.38
2018-06-30,13.96,$1.93,7.22
2018-03-31,16.39,$1.68,9.76
2017-12-31,17.73,$1.51,11.78
2017-09-30,16.08,$1.24,12.93
2017-06-30,14.07,$1.81,7.75
2017-03-31,15.45,$1.72,8.99
2016-12-31,15.46,$1.51,10.24
2016-09-30,11.65,$1.20,9.72
2016-06-30,8.96,$0.86,10.43
2016-03-31,10.66,$0.09,113.26
2015-12-31,11.51,$-0.06,0.0
2015-09-30,13.67,$0.17,79.66
2015-06-30,16.12,$0.14,119.11
2015-03-31,14.42,$-0.09,0.0
2014-12-31,14.36,$-0.70,0.0
2014-09-30,12.24,$-1.69,0.0
2014-06-30,12.72,$-3.49,0.0
2014-03-31,12.9,$-3.51,0.0
2013-12-31,12.12,$-4.03,0.0
2013-09-30,11.95,$-3.90,0.0
2013-06-30,9.97,$-2.83,0.0
2013-03-31,9.19,$-3.85,0.0
2012-12-31,5.24,$-3.87,0.0
2012-09-30,3.72,$-4.27,0.0
2012-06-30,2.82,$-4.87,0.0
2012-03-31,3.72,$-5.94,0.0
2011-12-31,2.0,$-6.73,0.0
2011-09-30,1.87,$-5.18,0.0
2011-06-30,3.61,$-6.94,0.0
2011-03-31,5.81,$-5.00,0.0
2010-12-31,6.88,$-6.53,0.0
2010-09-30,6.66,$14.63,0.46
2010-06-30,6.17,$15.54,0.4
2010-03-31,13.31,$-3.53,0.0
2009-12-31,6.22,$0.28,21.84
