Lockheed Martin Price to Free Cash Flow Ratio Historical Data,Lockheed Martin Price to Free Cash Flow Ratio Historical Data,Lockheed Martin Price to Free Cash Flow Ratio Historical Data,Lockheed Martin Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,466.74,,21.12
2024-12-31,485.94,$22.10,21.99
2024-09-30,580.88,$26.85,21.63
2024-06-30,461.59,$28.28,16.32
2024-03-31,449.51,$25.03,17.96
2023-12-31,444.63,$24.80,17.93
2023-09-30,398.38,$22.96,17.35
2023-06-30,445.49,$23.09,19.29
2023-03-31,454.37,$23.90,19.01
2022-12-31,464.66,$23.17,20.05
2022-09-30,366.69,$31.66,11.58
2022-06-30,405.44,$27.21,14.9
2022-03-31,413.6,$26.76,15.46
2021-12-31,330.89,$27.75,11.92
2021-09-30,318.61,$18.38,17.33
2021-06-30,346.81,$17.76,19.53
2021-03-31,336.4,$20.91,16.09
2020-12-31,320.66,$22.82,14.05
2020-09-30,343.78,$21.99,15.63
2020-06-30,325.31,$24.42,13.32
2020-03-31,300.3,$22.83,13.15
2019-12-31,342.76,$20.53,16.69
2019-09-30,341.26,$23.67,14.42
2019-06-30,316.25,$16.06,19.69
2019-03-31,259.43,$9.89,26.23
2018-12-31,224.71,$6.49,34.65
2018-09-30,294.74,$3.78,77.9
2018-06-30,250.13,$9.03,27.7
2018-03-31,284.31,$14.57,19.51
2017-12-31,268.58,$18.23,14.73
2017-09-30,257.96,$15.73,16.4
2017-06-30,229.43,$14.13,16.24
2017-03-31,219.73,$13.81,15.91
2016-12-31,203.85,$13.61,14.98
2016-09-30,194.19,$15.56,12.48
2016-06-30,199.66,$16.15,12.36
2016-03-31,176.99,$15.52,11.41
2015-12-31,172.2,$13.23,13.02
2015-09-30,163.21,$8.50,19.2
2015-06-30,145.28,$6.65,21.85
2015-03-31,157.38,$5.85,26.91
2014-12-31,148.21,$9.37,15.82
2014-09-30,139.57,$13.07,10.68
2014-06-30,121.8,$12.69,9.6
2014-03-31,122.71,$11.44,10.73
2013-12-31,110.83,$11.36,9.75
2013-09-30,94.22,$4.21,22.39
2013-06-30,79.38,$6.30,12.61
2013-03-31,69.89,$6.95,10.05
2012-12-31,65.97,$1.88,35.0
2012-09-30,65.93,$9.02,7.31
2012-06-30,60.81,$6.05,10.05
2012-03-31,62.01,$6.10,10.17
2011-12-31,55.2,$9.61,5.74
2011-09-30,48.92,$6.96,7.03
2011-06-30,53.99,$6.86,7.86
2011-03-31,53.09,$7.79,6.82
2010-12-31,45.74,$7.40,6.18
2010-09-30,46.13,$5.64,8.18
2010-06-30,47.78,$7.84,6.09
2010-03-31,52.96,$7.33,7.23
2009-12-31,47.56,$5.97,7.97
