SNDL Price to Free Cash Flow Ratio Historical Data,SNDL Price to Free Cash Flow Ratio Historical Data,SNDL Price to Free Cash Flow Ratio Historical Data,SNDL Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.57,,12.09
2024-12-31,1.79,$0.13,13.78
2024-09-30,2.06,$0.10,20.0
2024-06-30,1.9,$0.12,16.12
2024-03-31,2.01,$0.08,25.57
2023-12-31,1.64,$-0.07,0.0
2023-09-30,1.9,$-0.02,0.0
2023-06-30,1.37,$-0.07,0.0
2023-03-31,1.6,$-0.09,0.0
2022-12-31,2.09,$-0.04,0.0
2022-09-30,2.18,$-0.17,0.0
2022-06-30,3.26,$-0.37,0.0
2022-03-31,7.0,$-0.60,0.0
2021-12-31,5.78,$-0.68,0.0
2021-09-30,6.78,$-0.05,0.0
2021-06-30,9.49,$-0.77,0.0
2021-03-31,11.3,$-1.01,0.0
2020-12-31,4.74,$-1.99,0.0
2020-09-30,2.41,$-10.67,0.0
2020-06-30,7.99,$-23.72,0.0
