Kiora Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Kiora Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Kiora Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Kiora Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.18,,0.0
2024-09-30,3.66,$-6.38,0.0
2024-06-30,4.2,$-3.24,0.0
2024-03-31,6.35,$0.57,11.22
2023-12-31,4.7,$-17.77,0.0
2023-09-30,5.11,$-49.01,0.0
2023-06-30,5.79,$-136.65,0.0
2023-03-31,30.06,$-62.48,0.0
2022-12-31,30.87,$-128.15,0.0
2022-09-30,55.35,$-226.43,0.0
2022-06-30,169.42,$-137.14,0.0
2022-03-31,224.06,$-352.99,0.0
2021-12-31,543.6,$-401.09,0.0
2021-09-30,810.0,$-394.10,0.0
2021-06-30,1310.4,$-536.32,0.0
2021-03-31,1792.8,$-513.02,0.0
2020-12-31,1774.8,$-575.40,0.0
2020-09-30,1411.2,$-694.86,0.0
2020-06-30,1731.6,$-789.52,0.0
2020-03-31,1872.0,$-942.12,0.0
2019-12-31,3607.2,$-922.88,0.0
2019-09-30,1148.4,"$-1,217.08",0.0
2019-06-30,1296.0,"$-1,220.69",0.0
2019-03-31,1647.0,$-537.95,0.0
2018-12-31,2511.54,"$-1,653.26",0.0
2018-09-30,1674.0,"$-1,997.20",0.0
2018-06-30,2862.0,"$-2,218.13",0.0
2018-03-31,2052.0,"$-3,749.59",0.0
2017-12-31,5778.0,"$-2,462.54",0.0
2017-09-30,6318.0,"$-1,573.73",0.0
2017-06-30,7398.0,"$-1,117.51",0.0
2017-03-31,13770.0,$-0.78,0.0
2016-12-31,8802.0,$-0.95,0.0
2016-09-30,9288.0,$-1.01,0.0
2016-06-30,13986.0,$-1.21,0.0
