2seventy Bio Price to Free Cash Flow Ratio Historical Data,2seventy Bio Price to Free Cash Flow Ratio Historical Data,2seventy Bio Price to Free Cash Flow Ratio Historical Data,2seventy Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.95,,0.0
2024-09-30,4.72,$-2.86,0.0
2024-06-30,3.85,$-3.06,0.0
2024-03-31,5.35,$-3.21,0.0
2023-12-31,4.27,$-3.67,0.0
2023-09-30,3.92,$-4.34,0.0
2023-06-30,10.12,$-5.78,0.0
2023-03-31,10.2,$-5.65,0.0
2022-12-31,9.37,$-7.27,0.0
2022-09-30,14.55,$-14.49,0.0
