Cerus Price to Free Cash Flow Ratio Historical Data,Cerus Price to Free Cash Flow Ratio Historical Data,Cerus Price to Free Cash Flow Ratio Historical Data,Cerus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.53,,6.11
2024-12-31,1.54,$0.25,6.15
2024-09-30,1.74,$0.03,64.68
2024-06-30,1.76,$-0.06,0.0
2024-03-31,1.89,$-0.12,0.0
2023-12-31,2.16,$-0.18,0.0
2023-09-30,1.62,$0.03,54.92
2023-06-30,2.46,$0.09,28.21
2023-03-31,2.97,$0.14,21.51
2022-12-31,3.65,$0.07,51.63
2022-09-30,3.6,$-0.15,0.0
2022-06-30,5.29,$-0.17,0.0
2022-03-31,5.49,$-0.22,0.0
2021-12-31,6.81,$-0.20,0.0
2021-09-30,6.09,$-0.25,0.0
2021-06-30,5.91,$-0.24,0.0
2021-03-31,6.01,$-0.24,0.0
2020-12-31,6.92,$-0.26,0.0
2020-09-30,6.26,$-0.27,0.0
2020-06-30,6.6,$-0.41,0.0
2020-03-31,4.65,$-0.48,0.0
2019-12-31,4.22,$-0.53,0.0
2019-09-30,5.16,$-0.53,0.0
2019-06-30,5.62,$-0.40,0.0
2019-03-31,6.23,$-0.35,0.0
2018-12-31,5.07,$-0.25,0.0
2018-09-30,7.21,$-0.28,0.0
2018-06-30,6.67,$-0.35,0.0
2018-03-31,5.48,$-0.41,0.0
2017-12-31,3.38,$-0.49,0.0
2017-09-30,2.73,$-0.49,0.0
2017-06-30,2.51,$-0.54,0.0
2017-03-31,4.45,$-0.56,0.0
2016-12-31,4.35,$-0.53,0.0
2016-09-30,6.21,$-0.53,0.0
2016-06-30,6.24,$-0.49,0.0
2016-03-31,5.93,$-0.50,0.0
2015-12-31,6.32,$-0.54,0.0
2015-09-30,4.54,$-0.55,0.0
2015-06-30,5.19,$-0.59,0.0
2015-03-31,4.17,$-0.57,0.0
2014-12-31,6.24,$-0.55,0.0
2014-09-30,4.01,$-0.55,0.0
2014-06-30,4.15,$-0.49,0.0
2014-03-31,4.8,$-0.41,0.0
2013-12-31,6.45,$-0.40,0.0
2013-09-30,6.72,$-0.35,0.0
2013-06-30,4.42,$-0.28,0.0
2013-03-31,4.42,$-0.32,0.0
2012-12-31,3.16,$-0.25,0.0
2012-09-30,3.4,$-0.23,0.0
2012-06-30,3.32,$-0.26,0.0
2012-03-31,4.02,$-0.29,0.0
2011-12-31,2.8,$-0.33,0.0
2011-09-30,2.12,$-0.39,0.0
2011-06-30,3.0,$-0.40,0.0
2011-03-31,2.91,$-0.35,0.0
2010-12-31,2.46,$-0.40,0.0
2010-09-30,3.84,$-0.39,0.0
2010-06-30,3.16,$-0.36,0.0
2010-03-31,2.79,$-0.36,0.0
2009-12-31,1.99,$-0.42,0.0
