SAIHEAT Price to Free Cash Flow Ratio Historical Data,SAIHEAT Price to Free Cash Flow Ratio Historical Data,SAIHEAT Price to Free Cash Flow Ratio Historical Data,SAIHEAT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.86,,0.0
2022-12-31,2.01,$-0.36,0.0
2022-03-31,9.87,$-0.49,0.0
