Allstate Price to Free Cash Flow Ratio Historical Data,Allstate Price to Free Cash Flow Ratio Historical Data,Allstate Price to Free Cash Flow Ratio Historical Data,Allstate Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,210.18,,6.44
2024-12-31,192.79,$32.63,5.91
2024-09-30,188.81,$30.83,6.12
2024-06-30,158.18,$23.69,6.68
2024-03-31,171.41,$19.38,8.85
2023-12-31,137.87,$15.19,9.07
2023-09-30,109.01,$14.76,7.39
2023-06-30,105.83,$17.53,6.04
2023-03-31,106.68,$19.01,5.61
2022-12-31,129.65,$18.10,7.16
2022-09-30,118.31,$16.80,7.04
2022-06-30,119.57,$13.84,8.64
2022-03-31,129.87,$12.69,10.23
2021-12-31,109.56,$15.95,6.87
2021-09-30,117.71,$17.18,6.85
2021-06-30,119.88,$16.84,7.12
2021-03-31,104.98,$17.77,5.91
2020-12-31,99.71,$16.43,6.07
2020-09-30,84.95,$15.80,5.38
2020-06-30,87.02,$17.02,5.11
2020-03-31,81.85,$15.19,5.39
2019-12-31,99.83,$14.08,7.09
2019-09-30,96.05,$14.38,6.68
2019-06-30,89.44,$13.94,6.42
2019-03-31,82.4,$14.18,5.81
2018-12-31,71.91,$13.87,5.19
2018-09-30,85.9,$13.05,6.58
2018-06-30,79.07,$13.19,5.99
2018-03-31,81.73,$10.37,7.88
2017-12-31,89.82,$10.92,8.23
2017-09-30,78.56,$11.13,7.06
2017-06-30,75.28,$9.74,7.73
2017-03-31,69.07,$10.13,6.82
2016-12-31,62.54,$9.75,6.41
2016-09-30,58.11,$8.80,6.6
2016-06-30,58.47,$8.58,6.81
2016-03-31,56.04,$8.67,6.46
2015-12-31,51.39,$8.14,6.31
2015-09-30,47.97,$7.39,6.49
2015-06-30,53.16,$7.12,7.47
2015-03-31,58.06,$7.00,8.29
2014-12-31,57.07,$6.73,8.48
2014-09-30,49.65,$7.72,6.43
2014-06-30,47.29,$7.84,6.04
2014-03-31,45.35,$8.09,5.61
2013-12-31,43.49,$8.58,5.07
2013-09-30,40.13,$6.96,5.77
2013-06-30,38.0,$5.45,6.98
2013-03-31,38.55,$5.52,6.98
2012-12-31,31.39,$5.62,5.59
2012-09-30,30.78,$5.26,5.85
2012-06-30,27.11,$4.37,6.21
2012-03-31,25.27,$3.45,7.31
2011-12-31,20.89,$3.22,6.49
2011-09-30,17.91,$4.08,4.39
2011-06-30,22.9,$4.98,4.6
2011-03-31,23.67,$6.04,3.92
2010-12-31,23.59,$6.50,3.63
2010-09-30,23.19,$6.73,3.44
2010-06-30,20.97,$6.93,3.02
2010-03-31,23.42,$6.61,3.54
2009-12-31,21.64,$7.60,2.85
