Northern Technologies Price to Free Cash Flow Ratio Historical Data,Northern Technologies Price to Free Cash Flow Ratio Historical Data,Northern Technologies Price to Free Cash Flow Ratio Historical Data,Northern Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.12,,104.22
2024-11-30,13.92,$0.11,130.46
2024-08-31,13.07,$0.26,49.71
2024-05-31,18.22,$0.65,28.06
2024-02-29,12.46,$0.63,19.63
2023-11-30,10.63,$0.35,30.32
2023-08-31,12.57,$0.24,52.83
2023-05-31,10.95,$-0.03,0.0
2023-02-28,12.52,$-0.16,0.0
2022-11-30,12.46,$-0.18,0.0
2022-08-31,11.22,$-0.04,0.0
2022-05-31,10.95,$-0.22,0.0
2022-02-28,12.04,$-0.26,0.0
2021-11-30,14.13,$-0.09,0.0
2021-08-31,15.54,$-0.27,0.0
2021-05-31,15.31,$0.21,74.67
2021-02-28,14.99,$0.20,74.96
2020-11-30,8.62,$0.78,11.0
2020-08-31,7.65,$0.46,16.56
2020-05-31,6.82,$0.56,12.25
2020-02-29,10.55,$0.91,11.57
2019-11-30,11.1,$0.38,29.11
2019-08-31,9.98,$0.48,20.81
2019-05-31,11.32,$0.27,41.35
2019-02-28,14.09,$0.05,276.86
2018-11-30,15.02,$0.07,221.47
2018-08-31,16.31,$-0.01,0.0
2018-05-31,14.1,$0.23,60.62
2018-02-28,9.91,$0.60,16.4
2017-11-30,8.8,$0.47,18.54
2017-08-31,7.77,$0.53,14.77
2017-05-31,7.5,$0.10,75.23
2017-02-28,6.84,$-0.10,0.0
2016-11-30,6.16,$0.15,40.05
2016-08-31,6.13,$0.16,39.39
2016-05-31,5.52,$0.16,34.41
2016-02-29,5.49,$-0.08,0.0
2015-11-30,7.41,$-0.26,0.0
2015-08-31,6.87,$-0.24,0.0
2015-05-31,7.5,$-0.16,0.0
2015-02-28,9.05,$0.21,44.06
2014-11-30,10.3,$0.59,17.6
2014-08-31,9.14,$0.64,14.38
2014-05-31,9.38,$1.20,7.8
2014-02-28,9.91,$0.82,12.13
2013-11-30,7.66,$0.18,42.62
2013-08-31,6.58,$0.05,139.47
2013-05-31,4.74,$-0.46,0.0
2013-02-28,5.74,$-0.23,0.0
2012-11-30,4.59,$-0.13,0.0
2012-08-31,4.52,$-0.16,0.0
2012-05-31,5.5,$-0.12,0.0
2012-02-29,6.8,$-0.23,0.0
2011-11-30,5.92,$-0.15,0.0
2011-08-31,7.26,$-0.18,0.0
2011-05-31,7.06,$-0.24,0.0
2011-02-28,7.11,$-0.28,0.0
2010-11-30,6.17,$-0.38,0.0
2010-08-31,4.31,$-0.16,0.0
2010-05-31,4.77,$-0.20,0.0
2010-02-28,3.85,$-0.42,0.0
2009-11-30,3.35,$-0.28,0.0
