Imperial Petroleum Price to Free Cash Flow Ratio Historical Data,Imperial Petroleum Price to Free Cash Flow Ratio Historical Data,Imperial Petroleum Price to Free Cash Flow Ratio Historical Data,Imperial Petroleum Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.59,,1.67
2024-09-30,4.15,$1.55,2.67
2024-06-30,3.88,$0.89,4.36
2024-03-31,3.13,$0.34,9.15
2023-12-31,2.64,$2.41,1.1
2023-09-30,1.58,$-1.04,0.0
2023-06-30,3.08,$3.07,1.0
2023-03-31,2.9,$-0.55,0.0
2022-12-31,3.62,$-9.05,0.0
2022-09-30,4.88,$9.87,0.49
