Provident Bancorp Price to Free Cash Flow Ratio Historical Data,Provident Bancorp Price to Free Cash Flow Ratio Historical Data,Provident Bancorp Price to Free Cash Flow Ratio Historical Data,Provident Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.64,,15.97
2024-09-30,10.79,$0.73,14.8
2024-06-30,10.19,$0.31,32.47
2024-03-31,9.1,$0.35,26.27
2023-12-31,10.07,$0.69,14.65
2023-09-30,9.69,$0.81,11.93
2023-06-30,8.28,$1.78,4.66
2023-03-31,6.84,$1.59,4.29
2022-12-31,7.28,$1.54,4.72
2022-09-30,14.31,$1.44,9.96
2022-06-30,15.66,$1.19,13.21
2022-03-31,16.13,$1.19,13.51
2021-12-31,18.46,$1.38,13.36
2021-09-30,15.87,$1.28,12.39
2021-06-30,16.12,$1.06,15.14
2021-03-31,14.19,$1.07,13.25
2020-12-31,11.8,$0.95,12.39
2020-09-30,7.63,$1.10,6.94
2020-06-30,7.67,$1.13,6.79
2020-03-31,8.39,$0.91,9.25
2019-12-31,12.12,$0.73,16.55
2019-09-30,23.39,$-0.08,0.0
2019-06-30,27.24,$0.38,71.67
2019-03-31,22.04,$0.63,35.24
2018-12-31,21.1,$0.76,27.65
2018-09-30,28.18,$1.25,22.63
2018-06-30,25.5,$0.71,36.05
2018-03-31,25.84,$0.55,46.82
2017-12-31,25.74,$0.33,79.11
2017-09-30,22.53,$0.36,63.24
2017-06-30,21.9,$0.30,72.95
2017-03-31,20.39,$0.28,72.85
2016-12-31,17.42,$0.42,41.77
2016-09-30,15.18,$0.32,48.05
2016-06-30,15.01,$0.16,95.11
