Highway Holdings Price to Free Cash Flow Ratio Historical Data,Highway Holdings Price to Free Cash Flow Ratio Historical Data,Highway Holdings Price to Free Cash Flow Ratio Historical Data,Highway Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.88,,26.26
2024-12-31,1.95,$0.07,27.23
2024-09-30,1.81,$0.07,25.33
2024-06-30,2.0,$0.07,27.87
2024-03-31,1.98,$0.07,27.61
2023-12-31,1.89,$0.18,10.59
2023-09-30,1.82,$0.18,10.22
2023-06-30,2.32,$0.18,13.0
2023-03-31,1.81,$0.18,10.15
2022-12-31,1.86,$-0.07,0.0
2022-09-30,1.84,$-0.07,0.0
2022-06-30,1.84,$-0.07,0.0
2022-03-31,2.29,$-0.07,0.0
2021-12-31,3.28,$-0.05,0.0
2021-09-30,2.93,$-0.05,0.0
2021-06-30,3.07,$-0.05,0.0
2021-03-31,2.89,$-0.05,0.0
2020-12-31,3.16,$0.10,32.65
2020-09-30,2.11,$0.10,21.83
2020-06-30,1.63,$0.10,16.87
2020-03-31,1.49,$0.10,15.43
2019-12-31,1.15,$-0.29,0.0
2019-09-30,1.22,$-0.29,0.0
2019-06-30,1.98,$-0.29,0.0
2019-03-31,2.35,$-0.29,0.0
2018-12-31,1.81,$0.59,3.06
2018-09-30,3.04,$0.59,5.15
2018-06-30,3.06,$0.59,5.18
2018-03-31,3.25,$0.59,5.5
2017-12-31,2.73,$0.53,5.12
2017-09-30,2.18,$0.53,4.08
2017-06-30,2.12,$0.53,3.98
2017-03-31,2.4,$0.53,4.5
2016-12-31,1.97,$0.21,9.46
2016-09-30,2.62,$0.21,12.6
2016-06-30,2.55,$0.21,12.28
2016-03-31,2.63,$0.21,12.67
2015-12-31,2.71,$1.11,2.45
2015-09-30,2.83,$1.11,2.55
2015-06-30,1.88,$1.11,1.7
2015-03-31,1.67,$1.11,1.5
2014-12-31,1.43,$0.43,3.37
2014-09-30,1.51,$0.43,3.54
2014-06-30,1.31,$0.43,3.08
2014-03-31,1.31,$0.43,3.07
2013-12-31,1.43,$-0.05,0.0
2013-09-30,0.99,$-0.05,0.0
2013-06-30,0.83,$-0.05,0.0
2013-03-31,0.81,$-0.05,0.0
2012-12-31,0.86,$0.09,9.53
2012-09-30,0.85,$0.09,9.48
2012-06-30,0.71,$0.09,7.91
2012-03-31,1.04,$0.09,11.56
2011-12-31,0.9,$0.26,3.42
2011-09-30,1.12,$0.26,4.23
2011-06-30,1.37,$0.26,5.19
2011-03-31,1.32,$0.26,5.0
2010-12-31,1.43,$0.44,3.26
2010-09-30,0.76,$0.44,1.73
2010-06-30,0.75,$0.44,1.71
2010-03-31,0.95,$0.44,2.16
2009-12-31,0.76,$0.51,1.48
