JBG SMITH Properties Price to Free Cash Flow Ratio Historical Data,JBG SMITH Properties Price to Free Cash Flow Ratio Historical Data,JBG SMITH Properties Price to Free Cash Flow Ratio Historical Data,JBG SMITH Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.83,,0.0
2024-12-31,15.37,$-1.00,0.0
2024-09-30,17.3,$-1.18,0.0
2024-06-30,14.92,$-1.32,0.0
2024-03-31,15.54,$-1.24,0.0
2023-12-31,16.29,$-1.43,0.0
2023-09-30,13.62,$-1.72,0.0
2023-06-30,13.95,$-1.77,0.0
2023-03-31,13.75,$-1.70,0.0
2022-12-31,17.33,$-1.25,0.0
2022-09-30,16.56,$-0.78,0.0
2022-06-30,20.88,$-0.26,0.0
2022-03-31,25.58,$0.18,138.78
2021-12-31,25.13,$0.34,73.98
2021-09-30,25.52,$0.19,132.25
2021-06-30,26.96,$0.11,255.31
2021-03-31,27.0,$-0.27,0.0
2020-12-31,26.56,$-1.04,0.0
2020-09-30,22.37,$-1.57,0.0
2020-06-30,24.54,$-1.79,0.0
2020-03-31,26.23,$-2.11,0.0
2019-12-31,32.87,$-2.04,0.0
2019-09-30,31.94,$-1.98,0.0
2019-06-30,31.86,$-2.02,0.0
2019-03-31,33.3,$-1.65,0.0
2018-12-31,28.04,$-1.66,0.0
2018-09-30,29.22,$-1.52,0.0
2018-06-30,28.76,$-1.91,0.0
