FutureFuel Price to Free Cash Flow Ratio Historical Data,FutureFuel Price to Free Cash Flow Ratio Historical Data,FutureFuel Price to Free Cash Flow Ratio Historical Data,FutureFuel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.16,,4.27
2024-09-30,5.68,$0.97,5.83
2024-06-30,5.02,$1.60,3.13
2024-03-31,5.49,$0.76,7.27
2023-12-31,4.1,$0.35,11.76
2023-09-30,4.79,$0.24,19.6
2023-06-30,5.86,$0.16,36.95
2023-03-31,4.86,$0.62,7.88
2022-12-31,5.31,$1.09,4.87
2022-09-30,3.92,$1.46,2.68
2022-06-30,4.69,$0.95,4.92
2022-03-31,6.21,$1.04,5.96
2021-12-31,4.84,$0.97,4.97
2021-09-30,4.48,$0.87,5.13
2021-06-30,5.99,$0.18,34.17
2021-03-31,7.43,$1.72,4.33
2020-12-31,6.47,$2.10,3.08
2020-09-30,5.76,$1.88,3.06
2020-06-30,6.03,$2.29,2.63
2020-03-31,4.31,$0.82,5.28
2019-12-31,4.71,$0.63,7.45
2019-09-30,4.52,$0.52,8.63
2019-06-30,4.4,$0.58,7.59
2019-03-31,5.01,$1.64,3.05
2018-12-31,5.91,$1.85,3.2
2018-09-30,6.89,$1.79,3.86
2018-06-30,5.18,$1.69,3.07
2018-03-31,4.42,$0.73,6.07
2017-12-31,5.16,$0.82,6.31
2017-09-30,5.75,$1.07,5.39
2017-06-30,5.48,$1.58,3.47
2017-03-31,5.13,$2.15,2.39
2016-12-31,5.01,$1.99,2.52
2016-09-30,3.45,$1.20,2.88
2016-06-30,3.31,$1.05,3.16
2016-03-31,3.57,$-0.14,0.0
2015-12-31,4.07,$0.75,5.46
2015-09-30,2.97,$1.80,1.65
2015-06-30,3.84,$1.78,2.16
2015-03-31,3.05,$1.24,2.46
2014-12-31,3.85,$1.01,3.8
2014-09-30,3.48,$0.46,7.56
2014-06-30,4.81,$0.40,12.0
2014-03-31,5.85,$1.90,3.07
2013-12-31,4.52,$1.02,4.45
2013-09-30,5.03,$1.02,4.93
2013-06-30,3.94,$0.95,4.16
2013-03-31,3.35,$0.84,4.0
2012-12-31,3.24,$1.35,2.4
2012-09-30,2.97,$1.01,2.93
2012-06-30,2.55,$1.13,2.25
2012-03-31,2.64,$0.58,4.52
2011-12-31,2.96,$0.67,4.44
